line_id,invoice_id,description,quantity,unit_price,line_total
1,1,add-on seats,2,1621.69,3243.38
2,1,subscription,5,1385.78,6928.9
3,2,add-on seats,8,1258.7,10069.6
4,2,onboarding services,8,1534.61,12276.88
5,2,subscription,8,2191.22,17529.76
6,3,add-on seats,3,2102.04,6306.12
7,4,add-on seats,7,125.58,879.06
8,4,usage overage,2,1585.99,3171.98
9,5,usage overage,9,1229.61,11066.49
10,5,onboarding services,5,1067.67,5338.35
11,6,subscription,6,615.1,3690.6
12,6,onboarding services,6,362.5,2175.0
13,6,usage overage,10,85.45,854.5
14,7,usage overage,6,438.65,2631.9
15,8,add-on seats,1,789.41,789.41
16,8,subscription,1,1910.31,1910.31
17,8,add-on seats,10,1293.75,12937.5
18,9,subscription,4,873.16,3492.64
19,9,usage overage,6,1271.84,7631.04
20,9,add-on seats,9,1582.88,14245.92
21,10,usage overage,9,1934.09,17406.81
22,10,subscription,10,103.4,1034.0
23,11,onboarding services,5,642.61,3213.05
24,12,support plan,7,2107.84,14754.88
25,12,add-on seats,4,1563.38,6253.52
26,12,usage overage,3,1349.47,4048.41
27,13,onboarding services,1,1785.59,1785.59
28,13,usage overage,10,2093.42,20934.2
29,14,support plan,5,858.74,4293.7
30,14,onboarding services,8,99.35,794.8
31,14,add-on seats,6,648.18,3889.08
32,15,add-on seats,3,1789.67,5369.01
33,16,onboarding services,5,1047.69,5238.45
34,16,support plan,2,1903.69,3807.38
35,17,subscription,1,1472.11,1472.11
36,18,add-on seats,3,1415.16,4245.48
37,19,subscription,9,778.57,7007.13
38,19,usage overage,7,514.43,3601.01
39,19,subscription,1,1335.1,1335.1
40,20,onboarding services,1,1950.14,1950.14
41,21,subscription,7,618.4,4328.8
42,21,usage overage,4,278.73,1114.92
43,22,support plan,9,1308.65,11777.85
44,22,support plan,1,165.95,165.95
45,23,add-on seats,10,898.96,8989.6
46,23,onboarding services,6,220.87,1325.22
47,23,add-on seats,1,105.88,105.88
48,24,subscription,6,1775.57,10653.42
49,25,add-on seats,10,96.78,967.8
50,26,support plan,8,177.28,1418.24
51,27,subscription,3,2180.79,6542.37
52,27,usage overage,3,1360.3,4080.9
53,27,subscription,8,555.24,4441.92
54,28,subscription,7,288.29,2018.03
55,28,support plan,10,552.59,5525.9
56,29,subscription,1,2045.07,2045.07
57,29,onboarding services,2,1730.87,3461.74
58,29,subscription,4,738.27,2953.08
59,30,support plan,8,453.87,3630.96
60,30,support plan,5,1061.51,5307.55
61,30,support plan,5,1131.26,5656.3
62,31,onboarding services,10,577.18,5771.8
63,31,usage overage,5,1098.17,5490.85
64,31,onboarding services,9,1018.92,9170.28
65,32,onboarding services,10,429.61,4296.1
66,32,add-on seats,6,776.35,4658.1
67,32,subscription,7,1044.13,7308.91
68,33,support plan,5,1557.01,7785.05
69,33,usage overage,9,1244.6,11201.4
70,33,support plan,4,1347.47,5389.88
71,34,usage overage,1,1254.07,1254.07
72,34,support plan,5,1879.33,9396.65
73,35,onboarding services,10,1733.65,17336.5
74,35,usage overage,2,187.66,375.32
75,36,onboarding services,9,477.72,4299.48
76,36,add-on seats,6,1871.6,11229.6
77,36,add-on seats,9,1486.58,13379.22
78,37,onboarding services,5,891.72,4458.6
79,37,usage overage,7,1612.67,11288.69
80,37,support plan,4,1882.7,7530.8
81,38,onboarding services,5,1611.89,8059.45
82,38,add-on seats,10,1907.36,19073.6
83,39,subscription,10,2048.22,20482.2
84,40,usage overage,7,837.33,5861.31
85,40,usage overage,7,476.39,3334.73
86,41,add-on seats,7,502.49,3517.43
87,41,add-on seats,10,425.47,4254.7
88,41,usage overage,2,227.65,455.3
89,42,onboarding services,3,680.0,2040.0
90,42,subscription,4,143.07,572.28
91,42,usage overage,6,477.05,2862.3
92,43,add-on seats,4,1207.63,4830.52
93,43,subscription,5,1851.45,9257.25
94,44,add-on seats,9,726.29,6536.61
95,45,support plan,3,1391.38,4174.14
96,45,onboarding services,9,1046.93,9422.37
97,46,onboarding services,6,1803.78,10822.68
98,46,onboarding services,7,310.59,2174.13
99,47,subscription,5,1226.19,6130.95
100,47,usage overage,5,187.03,935.15
101,48,subscription,6,1295.94,7775.64
102,48,support plan,5,1981.89,9909.45
103,48,subscription,9,507.04,4563.36
104,49,add-on seats,10,1149.74,11497.4
105,49,usage overage,6,292.29,1753.74
106,49,subscription,9,1994.72,17952.48
107,50,subscription,4,1919.97,7679.88
108,50,support plan,10,1175.98,11759.8
109,50,add-on seats,10,2165.53,21655.3
110,51,add-on seats,3,1180.12,3540.36
111,52,add-on seats,6,202.34,1214.04
112,52,usage overage,7,1110.62,7774.34
113,52,add-on seats,7,1440.01,10080.07
114,53,onboarding services,9,180.75,1626.75
115,53,onboarding services,10,1971.25,19712.5
116,54,subscription,10,1687.71,16877.1
117,55,support plan,10,1251.31,12513.1
118,56,usage overage,1,297.31,297.31
119,57,support plan,1,579.05,579.05
120,57,onboarding services,2,739.17,1478.34
121,57,usage overage,3,2086.75,6260.25
122,58,add-on seats,9,1663.24,14969.16
123,59,subscription,4,1667.81,6671.24
124,60,usage overage,2,1920.78,3841.56
125,60,onboarding services,1,292.25,292.25
126,61,usage overage,8,1912.75,15302.0
127,62,support plan,9,1266.51,11398.59
128,62,onboarding services,8,821.15,6569.2
129,63,onboarding services,2,1284.6,2569.2
130,63,onboarding services,3,694.48,2083.44
131,64,subscription,2,1606.87,3213.74
132,64,subscription,3,1508.01,4524.03
133,64,usage overage,8,140.54,1124.32
134,65,subscription,6,1215.61,7293.66
135,65,add-on seats,8,1530.44,12243.52
136,65,support plan,4,1807.98,7231.92
137,66,support plan,10,741.32,7413.2
138,67,add-on seats,6,325.58,1953.48
139,67,subscription,3,1199.62,3598.86
140,68,support plan,1,1289.87,1289.87
141,69,support plan,8,368.5,2948.0
142,69,onboarding services,4,1760.84,7043.36
143,69,usage overage,8,701.91,5615.28
144,70,usage overage,4,2170.91,8683.64
145,70,add-on seats,7,1365.95,9561.65
146,71,usage overage,10,1850.59,18505.9
147,71,onboarding services,5,1937.76,9688.8
148,71,support plan,5,1644.22,8221.1
149,72,onboarding services,8,1983.97,15871.76
150,73,add-on seats,5,971.74,4858.7
151,73,onboarding services,4,220.94,883.76
152,73,support plan,10,250.37,2503.7
153,74,usage overage,1,155.83,155.83
154,74,subscription,10,689.86,6898.6
155,74,add-on seats,7,1860.18,13021.26
156,75,subscription,9,280.62,2525.58
157,75,support plan,6,2196.28,13177.68
158,75,onboarding services,10,1577.85,15778.5
159,76,subscription,3,1028.6,3085.8
160,77,usage overage,7,559.42,3915.94
161,78,usage overage,4,686.01,2744.04
162,78,support plan,5,222.46,1112.3
163,79,support plan,8,569.46,4555.68
164,79,subscription,3,1980.91,5942.73
165,79,usage overage,6,2129.71,12778.26
166,80,support plan,2,333.57,667.14
167,81,onboarding services,7,622.26,4355.82
168,81,subscription,8,2102.12,16816.96
169,81,support plan,10,1039.89,10398.9
170,82,onboarding services,5,1883.91,9419.55
171,82,usage overage,1,755.84,755.84
172,82,subscription,6,1177.44,7064.64
173,83,usage overage,1,1354.35,1354.35
174,83,add-on seats,1,2167.65,2167.65
175,83,subscription,5,872.02,4360.1
176,84,support plan,10,1022.52,10225.2
177,84,subscription,5,457.31,2286.55
178,85,add-on seats,3,571.31,1713.93
179,85,support plan,8,756.28,6050.24
180,85,support plan,6,732.26,4393.56
181,86,subscription,9,1982.99,17846.91
182,86,onboarding services,6,453.78,2722.68
183,86,support plan,7,1300.98,9106.86
184,87,onboarding services,1,651.99,651.99
185,88,usage overage,1,1109.44,1109.44
186,88,onboarding services,9,615.93,5543.37
187,89,subscription,2,128.87,257.74
188,89,onboarding services,3,541.43,1624.29
189,89,usage overage,8,1848.22,14785.76
190,90,add-on seats,3,1392.07,4176.21
191,90,usage overage,7,1370.29,9592.03
192,90,add-on seats,6,653.23,3919.38
193,91,usage overage,10,142.97,1429.7
194,92,usage overage,6,1408.88,8453.28
195,93,subscription,2,1601.1,3202.2
196,93,support plan,4,927.39,3709.56
197,93,add-on seats,8,1007.25,8058.0
198,94,onboarding services,4,1533.74,6134.96
199,95,subscription,7,996.07,6972.49
200,96,subscription,8,1346.96,10775.68
201,96,onboarding services,2,1585.0,3170.0
202,97,usage overage,8,870.47,6963.76
203,97,onboarding services,2,1671.2,3342.4
204,97,support plan,3,522.54,1567.62
205,98,onboarding services,5,1846.81,9234.05
206,98,add-on seats,4,1429.99,5719.96
207,98,support plan,3,743.3,2229.9
208,99,subscription,4,1458.97,5835.88
209,99,usage overage,2,300.72,601.44
210,100,onboarding services,1,1663.37,1663.37
211,100,onboarding services,4,1083.6,4334.4
212,101,support plan,7,977.35,6841.45
213,101,support plan,6,993.8,5962.8
214,102,support plan,9,687.55,6187.95
215,103,onboarding services,10,1387.17,13871.7
216,103,add-on seats,1,1550.38,1550.38
217,104,add-on seats,10,1004.71,10047.1
218,105,usage overage,10,1094.67,10946.7
219,105,usage overage,7,1771.37,12399.59
220,105,support plan,9,2147.95,19331.55
221,106,subscription,3,1233.36,3700.08
222,106,subscription,7,95.09,665.63
223,107,add-on seats,2,2158.18,4316.36
224,107,onboarding services,8,1493.08,11944.64
225,108,subscription,4,1844.28,7377.12
226,108,usage overage,3,730.68,2192.04
227,109,subscription,3,770.66,2311.98
228,109,usage overage,6,429.6,2577.6
229,110,support plan,2,1031.87,2063.74
230,110,add-on seats,9,129.86,1168.74
