lead_id,campaign_id,created_on,source,status,est_value
1,2,2024-06-24,search,new,4979.49
2,23,2023-08-18,webinar,lost,20300.54
3,17,2024-05-23,partner,qualified,22378.33
4,9,2024-12-08,content,new,11397.16
5,9,2024-04-23,search,qualified,13699.12
6,5,2024-04-13,partner,won,20088.14
7,9,2024-01-12,content,qualified,26492.59
8,1,2024-12-14,search,lost,9327.21
9,9,2024-05-18,search,new,16104.16
10,20,2024-06-24,outbound,lost,20076.91
11,21,2024-10-27,events,lost,3875.74
12,7,2024-08-21,events,qualified,15180.5
13,10,2024-06-02,outbound,lost,19829.37
14,9,2024-03-30,events,won,21091.82
15,1,2024-11-24,outbound,new,19554.08
16,16,2024-12-16,partner,qualified,2721.43
17,13,2023-09-14,partner,lost,19852.85
18,3,2024-08-18,outbound,new,6086.23
19,22,2024-09-22,outbound,new,5057.82
20,20,2023-11-09,content,qualified,3012.16
21,19,2023-12-02,partner,qualified,14613.99
22,14,2024-09-13,content,lost,10169.21
23,23,2024-12-13,webinar,lost,28804.29
24,24,2023-07-03,outbound,won,11739.84
25,10,2023-12-22,search,lost,1899.01
26,17,2024-12-13,content,new,15625.16
27,6,2024-10-11,webinar,qualified,7544.6
28,16,2024-07-14,search,lost,3755.49
29,1,2023-10-17,content,qualified,25697.78
30,9,2023-12-24,content,new,10976.57
31,21,2024-06-19,events,lost,20301.61
32,17,2024-11-01,events,won,5306.59
33,16,2024-07-26,webinar,qualified,1445.59
34,4,2024-02-27,events,won,25243.32
35,3,2024-11-05,content,new,22584.25
36,14,2024-12-11,webinar,qualified,4966.62
37,8,2024-01-21,search,won,11405.38
38,24,2024-01-19,webinar,qualified,1308.06
39,24,2024-10-16,outbound,new,25977.16
40,9,2024-02-07,outbound,new,17701.23
41,15,2024-05-28,content,lost,20737.75
42,17,2024-07-23,webinar,won,25890.35
43,11,2024-10-05,partner,new,7754.62
44,3,2023-10-30,webinar,new,3112.76
45,14,2024-10-12,events,qualified,26142.9
46,16,2024-04-15,search,new,21145.56
47,9,2024-05-14,events,won,8459.67
48,21,2024-09-15,content,new,18602.55
49,11,2024-07-17,search,qualified,19711.0
50,18,2024-11-02,search,new,29539.77
51,24,2024-02-21,outbound,won,19818.01
52,11,2024-03-22,partner,new,4877.09
53,6,2023-12-13,search,new,11606.35
54,6,2023-10-17,content,qualified,20354.47
55,12,2024-11-23,content,new,23773.36
56,4,2024-11-14,outbound,new,2213.67
