payment_id,invoice_id,paid_on,amount,method,status
1,2,2023-08-23,39876.24,card,settled
2,4,2023-10-21,4051.04,ach,settled
3,5,2023-11-19,16404.84,card,settled
4,6,2024-01-16,6720.1,ach,settled
5,8,2024-03-20,15637.22,wire,settled
6,10,2024-05-06,18440.81,card,settled
7,11,2024-06-14,3213.05,wire,settled
8,12,2024-07-14,25056.81,ach,settled
9,13,2024-08-18,22719.79,ach,settled
10,15,2024-11-06,5369.01,ach,settled
11,16,2024-12-29,9045.83,card,settled
12,17,2023-08-17,1472.11,ach,settled
13,18,2023-09-17,4245.48,wire,settled
14,19,2023-10-11,11943.24,card,settled
15,21,2024-01-19,5443.72,ach,settled
16,23,2024-04-11,10420.7,wire,settled
17,25,2024-08-14,967.8,ach,settled
18,28,2024-11-28,7543.93,ach,settled
19,29,2024-12-12,8459.89,ach,settled
20,30,2023-07-20,14594.81,card,settled
21,31,2023-08-06,20432.93,card,settled
22,32,2023-09-22,16263.11,wire,settled
23,34,2024-02-26,10650.72,wire,settled
24,35,2024-03-16,17711.82,wire,settled
25,36,2024-04-22,28908.3,card,settled
26,38,2024-08-29,27133.05,wire,settled
27,39,2024-09-10,20482.2,ach,settled
28,41,2024-12-15,8227.43,ach,settled
29,42,2023-07-24,5474.58,ach,settled
30,43,2023-08-14,14087.77,ach,settled
31,44,2023-09-27,6536.61,card,settled
32,45,2023-10-15,13596.51,card,settled
33,46,2023-11-17,12996.81,wire,settled
34,47,2023-12-27,7066.1,wire,settled
35,48,2024-01-15,22248.45,card,settled
36,49,2024-02-22,31203.62,ach,settled
37,50,2024-03-11,41094.98,ach,settled
38,51,2024-04-18,3540.36,wire,settled
39,52,2024-06-12,19068.45,wire,settled
40,54,2024-08-24,16877.1,card,settled
41,55,2024-09-26,12513.1,ach,settled
42,56,2024-10-15,297.31,card,settled
43,57,2024-11-28,8317.64,ach,settled
44,58,2024-12-07,14969.16,card,settled
45,59,2023-07-24,6671.24,wire,settled
46,60,2023-08-25,4133.81,card,settled
47,61,2023-09-11,15302.0,wire,settled
48,62,2023-10-24,17967.79,card,settled
49,63,2023-11-24,4652.64,ach,settled
50,64,2023-12-15,8862.09,wire,settled
51,68,2024-06-29,1289.87,wire,settled
52,69,2024-07-16,15606.64,card,settled
53,70,2024-08-22,18245.29,card,settled
54,71,2024-10-06,36415.8,card,settled
55,72,2024-11-09,15871.76,ach,settled
56,73,2024-12-19,8246.16,card,settled
57,74,2023-07-11,20075.69,wire,settled
58,75,2023-08-15,31481.76,ach,settled
59,76,2023-09-22,3085.8,card,settled
60,79,2024-05-17,23276.67,ach,settled
61,80,2024-07-11,667.14,card,settled
62,81,2024-09-06,31571.68,card,settled
63,83,2024-12-12,7882.1,wire,settled
64,85,2023-10-26,12157.73,card,settled
65,86,2023-11-25,29676.45,card,settled
66,87,2024-01-10,651.99,wire,settled
67,89,2024-04-11,16667.79,card,settled
68,90,2024-05-26,17687.62,card,settled
69,91,2024-06-26,1429.7,wire,settled
70,92,2024-07-20,8453.28,wire,settled
71,93,2024-08-16,14969.76,ach,settled
72,94,2024-09-27,6134.96,wire,settled
73,95,2024-10-09,6972.49,wire,settled
74,96,2023-08-13,13945.68,ach,settled
75,97,2023-10-07,11873.78,ach,settled
76,98,2023-11-24,17183.91,wire,settled
77,99,2023-12-25,6437.32,ach,settled
78,100,2024-01-14,5997.77,ach,settled
79,101,2024-02-28,12804.25,card,settled
80,102,2024-03-06,6187.95,card,settled
81,103,2024-04-23,15422.08,ach,settled
82,104,2024-06-18,10047.1,ach,settled
83,105,2024-08-08,42677.84,wire,settled
84,107,2024-10-10,16261.0,wire,settled
85,108,2024-11-21,9569.16,wire,settled
86,109,2023-07-20,4889.58,ach,settled
87,110,2023-08-04,3232.48,card,settled
88,111,2023-11-23,13055.24,wire,settled
89,112,2023-12-24,7513.0,wire,settled
90,113,2024-02-24,9350.5,ach,settled
