id,month,department,headcount,total_payroll,total_benefits
1,2023-07,Engineering,26,191056.69,34862.1
2,2023-07,Sales,12,108165.62,18216.13
3,2023-07,Marketing,14,113418.94,23229.22
4,2023-07,Support,18,133293.15,29665.08
5,2023-07,Finance,17,110376.46,26139.17
6,2023-07,People,24,253945.44,39827.5
7,2023-08,Engineering,12,89069.27,17590.57
8,2023-08,Sales,9,81439.37,10780.35
9,2023-08,Marketing,23,210244.26,36287.58
10,2023-08,Support,8,66192.95,7386.89
11,2023-08,Finance,16,136789.79,25775.37
12,2023-08,People,20,172219.06,29814.89
13,2023-09,Engineering,29,262819.68,50145.26
14,2023-09,Sales,15,114725.39,19714.71
15,2023-09,Marketing,24,153146.14,34561.45
16,2023-09,Support,10,94113.5,13428.55
17,2023-09,Finance,28,259652.06,35422.71
18,2023-09,People,20,206572.43,24302.58
19,2023-10,Engineering,27,214886.47,34857.52
20,2023-10,Sales,14,108956.25,14081.37
21,2023-10,Marketing,14,92698.11,19390.39
22,2023-10,Support,28,294406.56,26415.83
23,2023-10,Finance,15,151527.78,18833.98
24,2023-10,People,10,107911.74,13900.83
25,2023-11,Engineering,15,142284.39,24121.34
26,2023-11,Sales,25,173029.7,36135.46
27,2023-11,Marketing,29,192595.19,49233.84
28,2023-11,Support,9,57990.49,11165.39
29,2023-11,Finance,10,87767.64,9082.37
30,2023-11,People,27,282349.47,42109.62
31,2023-12,Engineering,12,116490.47,20290.66
32,2023-12,Sales,26,276602.98,24530.94
33,2023-12,Marketing,23,187468.66,33644.94
34,2023-12,Support,29,213770.83,30233.23
35,2023-12,Finance,29,200641.32,28952.49
36,2023-12,People,14,106640.59,18463.79
37,2024-01,Engineering,15,147035.36,16388.66
38,2024-01,Sales,12,130692.93,18679.55
39,2024-01,Marketing,20,178548.61,35242.41
40,2024-01,Support,22,146545.79,30793.37
41,2024-01,Finance,22,148431.62,30322.37
42,2024-01,People,22,150465.47,34259.48
43,2024-02,Engineering,21,170780.93,27901.46
44,2024-02,Sales,24,228508.35,26200.66
45,2024-02,Marketing,9,65483.47,8772.95
46,2024-02,Support,24,245310.0,30549.98
47,2024-02,Finance,9,56045.13,14202.18
48,2024-02,People,19,182584.86,25111.57
49,2024-03,Engineering,17,155877.15,28080.67
50,2024-03,Sales,14,105926.92,16323.45
51,2024-03,Marketing,19,198310.81,26203.95
52,2024-03,Support,10,61445.9,12314.46
53,2024-03,Finance,23,178682.77,20717.36
54,2024-03,People,27,189931.54,29990.87
55,2024-04,Engineering,30,298773.56,33295.52
56,2024-04,Sales,23,230798.41,27651.92
57,2024-04,Marketing,28,286887.51,42091.65
58,2024-04,Support,16,121526.02,19777.23
59,2024-04,Finance,24,224300.52,35995.05
60,2024-04,People,16,135941.13,25641.13
61,2024-05,Engineering,16,142683.83,17706.53
62,2024-05,Sales,30,279345.11,45611.94
63,2024-05,Marketing,13,123251.8,21044.59
64,2024-05,Support,24,230204.64,24765.51
65,2024-05,Finance,23,203307.97,27190.98
66,2024-05,People,18,191147.92,18578.58
67,2024-06,Engineering,9,79325.98,12731.98
68,2024-06,Sales,18,114861.61,29374.79
69,2024-06,Marketing,21,166848.91,32574.39
70,2024-06,Support,30,197033.45,40491.14
71,2024-06,Finance,22,235182.85,36889.66
72,2024-06,People,25,247595.22,42503.23
73,2024-07,Engineering,8,67821.53,11185.18
74,2024-07,Sales,20,153894.32,34127.16
75,2024-07,Marketing,24,161784.33,35393.23
76,2024-07,Support,23,197358.07,36077.09
77,2024-07,Finance,9,74356.59,9231.65
78,2024-07,People,26,251720.79,29530.91
79,2024-08,Engineering,23,184278.38,38058.53
80,2024-08,Sales,29,304849.84,49273.11
81,2024-08,Marketing,10,83011.48,13954.51
82,2024-08,Support,29,261802.29,38041.02
83,2024-08,Finance,12,78900.65,18892.79
84,2024-08,People,16,149557.1,18419.34
85,2024-09,Engineering,30,308333.08,39419.5
86,2024-09,Sales,27,271398.8,46879.8
87,2024-09,Marketing,13,80980.61,13760.79
88,2024-09,Support,9,59608.94,8483.34
89,2024-09,Finance,22,170240.57,27007.41
90,2024-09,People,25,229372.99,40717.25
91,2024-10,Engineering,27,281819.63,32924.57
92,2024-10,Sales,19,135196.82,25871.13
93,2024-10,Marketing,17,139993.15,17457.84
94,2024-10,Support,27,233722.49,46484.3
95,2024-10,Finance,16,100664.72,17805.42
96,2024-10,People,11,100077.6,15970.78
97,2024-11,Engineering,22,199581.92,20144.96
98,2024-11,Sales,9,87654.45,15030.36
99,2024-11,Marketing,23,159749.12,38378.58
100,2024-11,Support,30,235380.66,40788.55
101,2024-11,Finance,19,118354.92,23307.77
102,2024-11,People,8,73935.85,11228.12
103,2024-12,Engineering,22,201929.12,25425.32
104,2024-12,Sales,25,165105.66,44307.32
105,2024-12,Marketing,20,156748.45,22278.07
106,2024-12,Support,28,267497.24,41322.87
107,2024-12,Finance,15,161489.47,21027.45
108,2024-12,People,12,109212.67,17873.11
