event_id,customer_id,product_id,event_ts,event_type,units
1,72,1,2024-04-21 01:16:00,alert_fired,320
2,182,5,2024-05-04 20:30:00,dashboard_view,165
3,123,6,2024-08-25 06:45:00,dashboard_view,282
4,33,2,2024-09-19 12:48:00,export,159
5,395,4,2024-06-10 00:48:00,alert_fired,359
6,26,4,2024-11-21 04:28:00,export,436
7,265,4,2024-07-20 20:20:00,alert_fired,173
8,33,4,2024-03-23 05:36:00,api_call,465
9,287,1,2024-07-07 00:11:00,api_call,490
10,113,2,2023-12-09 12:35:00,export,391
11,397,1,2024-06-28 22:53:00,login,9
12,342,2,2023-12-12 10:47:00,dashboard_view,37
13,8,4,2023-09-16 14:10:00,dashboard_view,49
14,384,6,2024-01-22 10:54:00,report_run,182
15,236,1,2023-09-04 10:02:00,login,464
16,37,1,2024-12-10 21:05:00,alert_fired,296
17,307,3,2024-11-07 02:38:00,report_run,95
18,249,2,2024-09-28 01:28:00,login,206
19,406,3,2024-11-01 16:11:00,dashboard_view,226
20,7,1,2024-01-12 06:23:00,dashboard_view,320
21,177,3,2024-07-06 05:59:00,dashboard_view,152
22,74,1,2023-12-11 02:21:00,export,487
23,189,3,2024-10-23 14:31:00,report_run,22
24,309,4,2024-10-10 01:12:00,export,274
25,276,2,2023-12-20 15:46:00,export,177
26,59,4,2024-05-12 22:40:00,alert_fired,497
27,263,6,2024-10-04 09:26:00,report_run,425
28,369,2,2024-12-03 04:59:00,api_call,240
29,148,3,2024-06-16 08:58:00,login,139
30,235,3,2023-08-17 22:42:00,api_call,278
31,285,3,2024-12-05 19:50:00,export,98
32,132,3,2024-03-07 08:04:00,dashboard_view,482
33,111,3,2024-09-17 07:12:00,export,40
34,264,4,2023-11-18 09:34:00,report_run,411
35,70,2,2024-03-20 18:51:00,dashboard_view,63
36,154,2,2024-07-25 15:46:00,login,76
37,269,5,2023-12-10 17:04:00,api_call,467
38,403,1,2024-05-25 19:47:00,login,361
39,96,5,2024-01-28 09:53:00,dashboard_view,72
40,301,2,2023-11-12 09:18:00,report_run,130
41,120,3,2023-12-22 17:19:00,report_run,61
42,105,2,2024-10-01 18:40:00,api_call,174
43,336,5,2023-07-27 04:07:00,report_run,133
44,314,1,2024-04-20 13:10:00,login,86
45,77,5,2024-11-05 11:53:00,export,399
46,260,4,2024-09-05 08:13:00,api_call,179
47,353,4,2024-05-09 10:50:00,report_run,414
48,61,5,2024-05-25 18:21:00,dashboard_view,189
49,265,6,2024-11-12 21:45:00,alert_fired,180
50,210,3,2024-08-02 07:14:00,report_run,452
51,365,6,2024-01-06 14:46:00,alert_fired,492
52,173,2,2024-06-25 16:02:00,report_run,330
53,358,1,2024-12-17 09:04:00,report_run,182
54,124,5,2024-04-26 16:04:00,login,378
55,383,4,2023-08-18 11:01:00,alert_fired,66
56,24,3,2024-06-03 03:36:00,export,37
57,352,4,2024-05-07 00:56:00,report_run,100
58,316,4,2023-10-17 19:21:00,report_run,488
59,227,2,2023-08-12 11:13:00,api_call,158
60,281,3,2024-03-21 13:02:00,login,494
61,318,3,2024-12-24 23:55:00,api_call,203
62,351,5,2024-09-12 00:34:00,api_call,322
63,248,5,2024-07-09 19:10:00,dashboard_view,378
64,214,2,2024-10-14 05:21:00,export,247
65,342,1,2024-05-28 09:05:00,dashboard_view,324
66,254,6,2024-08-26 15:34:00,export,116
67,237,3,2024-05-06 00:36:00,api_call,118
68,380,5,2024-04-02 03:22:00,dashboard_view,445
69,257,1,2024-10-25 21:53:00,report_run,351
70,103,6,2024-03-11 16:20:00,login,327
71,412,1,2024-09-01 06:11:00,alert_fired,391
72,349,6,2024-12-19 13:53:00,alert_fired,309
73,215,2,2023-09-22 08:48:00,alert_fired,399
74,13,1,2024-11-19 09:07:00,export,278
75,287,6,2024-12-15 02:13:00,export,265
76,116,6,2024-11-08 01:49:00,api_call,399
77,173,1,2023-08-19 10:39:00,dashboard_view,472
78,23,4,2024-02-24 00:49:00,report_run,88
79,121,1,2024-11-17 17:49:00,login,350
80,112,5,2023-09-27 01:29:00,alert_fired,9
81,203,2,2024-05-10 20:08:00,report_run,206
82,299,5,2024-10-13 00:17:00,api_call,56
83,383,5,2023-09-16 07:27:00,export,464
84,337,2,2023-10-05 10:22:00,export,302
85,331,1,2024-09-23 11:28:00,alert_fired,463
86,361,2,2024-10-23 01:59:00,export,482
87,60,1,2024-07-28 23:13:00,login,320
88,88,5,2023-10-13 23:25:00,export,246
89,171,5,2024-03-16 08:28:00,report_run,248
90,57,5,2024-08-26 13:19:00,dashboard_view,148
91,106,2,2024-02-22 04:49:00,login,399
92,357,5,2024-10-21 20:47:00,alert_fired,318
93,17,5,2023-12-19 09:55:00,api_call,5
94,223,1,2024-08-03 13:53:00,alert_fired,237
95,412,1,2024-04-15 13:47:00,login,67
96,314,2,2024-10-25 04:32:00,login,203
97,296,3,2024-02-26 23:13:00,alert_fired,179
98,408,2,2024-07-20 14:31:00,api_call,220
99,336,3,2024-01-11 18:22:00,login,377
100,260,5,2024-06-22 22:50:00,dashboard_view,404
101,289,3,2024-12-10 23:09:00,report_run,256
102,404,2,2024-08-24 07:04:00,dashboard_view,291
103,222,5,2024-01-19 10:47:00,api_call,394
104,173,5,2024-10-27 14:39:00,report_run,498
105,51,4,2024-05-11 22:38:00,dashboard_view,122
106,71,6,2024-11-20 19:57:00,login,53
107,3,3,2024-10-01 02:10:00,alert_fired,273
108,82,1,2024-12-03 00:21:00,alert_fired,196
109,191,4,2024-11-17 18:18:00,api_call,386
110,28,2,2024-11-12 08:32:00,dashboard_view,100
111,203,3,2023-12-05 21:37:00,alert_fired,374
112,260,2,2024-11-28 07:12:00,alert_fired,9
113,103,2,2024-06-04 12:51:00,export,306
114,197,6,2024-08-14 04:12:00,alert_fired,323
115,85,3,2024-01-18 03:28:00,dashboard_view,43
116,328,2,2024-04-18 10:24:00,alert_fired,465
117,9,2,2024-01-18 02:48:00,export,390
118,260,4,2024-08-25 04:28:00,api_call,125
119,226,6,2024-07-09 19:20:00,dashboard_view,384
120,337,4,2024-10-21 18:45:00,api_call,398
121,128,2,2024-12-18 06:39:00,dashboard_view,228
122,66,2,2024-05-12 20:26:00,report_run,107
123,402,3,2024-11-18 17:46:00,report_run,385
124,82,3,2024-05-22 08:24:00,alert_fired,453
125,308,2,2024-04-05 04:15:00,dashboard_view,356
126,241,1,2024-12-10 02:08:00,export,63
127,304,2,2023-10-04 20:48:00,report_run,191
128,110,3,2024-01-28 21:38:00,alert_fired,454
129,243,5,2024-07-28 19:18:00,report_run,268
130,162,6,2024-04-15 10:13:00,api_call,62
131,331,3,2024-10-26 16:42:00,report_run,117
132,306,6,2024-08-15 02:22:00,export,431
133,150,1,2024-04-27 05:55:00,login,147
134,359,1,2024-09-13 04:23:00,api_call,301
135,167,5,2023-11-10 16:05:00,report_run,455
136,378,3,2024-05-04 03:10:00,report_run,168
137,282,6,2023-11-05 23:28:00,dashboard_view,367
138,18,3,2023-09-27 22:05:00,report_run,397
139,369,3,2024-04-01 15:16:00,report_run,294
140,130,3,2024-02-21 11:03:00,alert_fired,423
141,188,4,2023-08-28 17:14:00,api_call,49
142,224,1,2024-10-23 23:05:00,api_call,414
143,217,1,2024-11-15 05:46:00,export,56
144,145,3,2023-12-27 21:01:00,alert_fired,122
145,137,4,2024-12-01 16:26:00,report_run,387
146,319,3,2024-11-16 19:42:00,dashboard_view,38
147,161,6,2024-03-13 05:51:00,login,407
148,39,2,2024-06-24 16:47:00,export,478
149,15,5,2024-07-05 22:35:00,dashboard_view,137
150,171,5,2024-10-18 03:27:00,alert_fired,307
151,58,5,2024-01-27 01:01:00,export,103
152,139,6,2024-10-20 14:03:00,login,155
153,120,6,2024-12-08 02:23:00,export,184
154,374,3,2024-06-18 08:23:00,report_run,387
155,412,1,2024-03-16 17:59:00,alert_fired,230
156,125,5,2024-10-19 05:14:00,alert_fired,119
157,369,2,2024-11-24 10:51:00,report_run,146
158,244,2,2023-11-09 13:23:00,login,109
159,372,5,2024-12-05 05:09:00,login,334
160,364,1,2024-04-27 03:04:00,login,30
161,70,2,2024-08-14 17:21:00,export,106
162,75,2,2024-09-25 04:10:00,report_run,232
163,319,1,2024-06-12 00:25:00,login,449
164,392,3,2024-07-21 21:04:00,api_call,317
165,385,1,2024-05-28 23:54:00,dashboard_view,180
166,273,2,2024-10-11 22:38:00,export,47
167,62,1,2024-09-16 05:27:00,alert_fired,193
168,198,6,2024-12-24 09:56:00,api_call,370
169,19,6,2024-06-28 15:12:00,api_call,302
170,136,5,2023-09-26 17:22:00,export,308
171,356,4,2024-09-01 09:52:00,alert_fired,432
172,214,2,2024-05-01 02:18:00,report_run,76
173,346,1,2024-06-14 09:47:00,dashboard_view,168
174,325,2,2024-04-24 02:49:00,dashboard_view,51
175,271,6,2024-12-12 15:05:00,dashboard_view,299
176,185,2,2024-03-08 16:42:00,alert_fired,3
177,250,2,2024-11-26 18:37:00,dashboard_view,158
178,349,2,2024-04-21 05:37:00,api_call,88
179,63,1,2024-07-01 15:44:00,dashboard_view,214
180,260,1,2024-03-12 14:43:00,export,301
181,37,4,2024-09-24 22:16:00,api_call,498
182,273,5,2024-10-23 05:24:00,api_call,309
183,309,6,2023-08-09 07:08:00,report_run,177
184,100,2,2024-05-03 18:40:00,export,486
185,76,6,2024-11-26 13:12:00,login,426
186,44,2,2024-10-20 13:19:00,dashboard_view,173
187,31,1,2024-07-25 06:47:00,api_call,433
188,163,4,2024-06-20 08:56:00,export,425
189,43,5,2024-04-20 06:39:00,api_call,359
190,242,1,2024-09-24 06:18:00,api_call,116
191,52,6,2023-08-09 23:16:00,api_call,31
192,75,2,2023-11-25 05:29:00,alert_fired,412
193,365,1,2024-03-22 07:00:00,dashboard_view,288
194,71,1,2024-12-24 08:56:00,alert_fired,225
195,397,3,2024-02-20 11:47:00,login,46
196,278,1,2024-01-19 19:17:00,dashboard_view,318
197,165,2,2024-02-19 08:13:00,export,89
198,332,3,2024-11-01 17:04:00,alert_fired,400
199,324,3,2023-10-23 08:23:00,export,405
200,357,3,2023-12-27 02:43:00,dashboard_view,240
201,389,3,2024-10-07 17:55:00,api_call,39
202,253,3,2023-12-02 07:29:00,login,353
203,140,4,2024-11-24 19:18:00,alert_fired,277
204,15,2,2024-04-08 16:56:00,report_run,351
205,149,3,2024-05-01 12:02:00,report_run,171
206,43,5,2023-11-25 12:02:00,export,349
207,87,4,2024-02-07 03:14:00,report_run,391
208,14,4,2024-08-20 02:44:00,login,154
209,376,2,2023-11-09 02:02:00,api_call,276
210,196,2,2023-12-20 00:02:00,alert_fired,253
211,336,3,2024-11-03 09:43:00,alert_fired,237
212,378,4,2024-11-10 03:20:00,alert_fired,103
213,265,4,2024-09-05 05:50:00,api_call,25
214,151,4,2024-11-27 22:35:00,api_call,176
215,83,3,2024-05-25 01:45:00,login,462
216,303,1,2023-09-02 15:32:00,dashboard_view,299
217,165,3,2024-11-04 19:18:00,export,260
218,297,6,2024-04-26 12:36:00,alert_fired,263
219,56,5,2024-07-03 00:57:00,report_run,476
220,3,4,2024-01-11 17:00:00,login,444
221,244,3,2023-12-28 20:48:00,alert_fired,50
222,66,3,2023-09-28 12:58:00,api_call,82
223,143,6,2024-01-13 01:03:00,api_call,287
224,286,6,2024-01-15 18:31:00,api_call,68
225,289,2,2024-05-26 05:38:00,api_call,365
226,331,1,2024-11-03 07:21:00,alert_fired,444
227,154,1,2024-10-28 03:11:00,dashboard_view,127
228,192,4,2024-07-15 20:51:00,alert_fired,357
229,144,1,2023-10-10 18:17:00,alert_fired,277
230,222,3,2024-10-18 13:00:00,alert_fired,153
231,398,1,2024-11-01 03:10:00,alert_fired,496
232,269,5,2024-05-15 13:13:00,alert_fired,234
233,234,3,2024-12-28 12:57:00,report_run,44
234,220,6,2023-10-10 04:30:00,export,454
235,108,4,2024-10-18 09:56:00,report_run,125
236,131,4,2023-12-17 13:01:00,login,364
237,34,3,2024-09-19 08:29:00,login,78
238,321,1,2024-03-26 01:21:00,dashboard_view,52
239,410,5,2024-07-10 21:17:00,export,91
240,90,4,2024-10-16 22:37:00,dashboard_view,185
241,242,4,2024-10-09 04:43:00,alert_fired,408
242,123,2,2024-12-02 11:38:00,export,20
243,367,5,2024-05-13 07:33:00,login,139
244,351,6,2024-11-20 10:54:00,api_call,315
245,196,1,2023-12-06 16:46:00,export,454
246,174,6,2023-11-23 19:29:00,export,484
247,98,5,2024-02-25 03:29:00,alert_fired,87
248,152,6,2024-11-02 20:40:00,api_call,376
249,206,1,2024-02-28 09:36:00,export,249
250,14,5,2024-02-16 04:00:00,api_call,146
251,60,2,2024-10-15 00:15:00,login,178
252,140,4,2024-12-24 05:19:00,api_call,123
253,285,5,2023-11-15 23:31:00,dashboard_view,259
254,280,1,2024-04-17 19:35:00,dashboard_view,421
255,223,3,2024-09-28 02:26:00,api_call,87
256,235,1,2023-12-08 12:25:00,alert_fired,421
257,245,5,2024-11-10 22:35:00,dashboard_view,170
258,54,2,2024-10-01 11:46:00,export,65
259,204,4,2024-12-12 00:05:00,dashboard_view,256
260,266,1,2024-07-28 00:23:00,api_call,185
261,270,5,2024-09-02 16:39:00,alert_fired,464
262,330,5,2024-12-21 16:12:00,login,38
263,143,3,2024-08-17 10:53:00,api_call,391
264,281,4,2024-12-08 04:24:00,login,167
265,35,2,2024-07-28 09:46:00,export,478
266,11,1,2024-03-21 22:42:00,alert_fired,408
267,139,3,2023-12-28 23:04:00,login,71
268,297,1,2023-09-04 03:59:00,api_call,116
269,87,1,2024-12-09 16:09:00,dashboard_view,355
270,161,1,2024-12-17 14:50:00,export,331
271,162,6,2024-07-11 18:52:00,report_run,245
272,33,3,2023-08-12 18:43:00,login,58
273,261,4,2024-10-28 14:31:00,dashboard_view,379
274,348,1,2024-02-19 02:43:00,alert_fired,445
275,157,6,2023-08-05 23:34:00,report_run,185
276,134,1,2024-12-28 10:01:00,export,164
277,276,6,2023-11-17 21:42:00,api_call,29
278,16,5,2023-08-18 11:50:00,dashboard_view,125
279,209,3,2023-10-28 11:10:00,report_run,66
280,126,3,2023-11-28 13:39:00,api_call,34
281,125,6,2024-08-28 17:49:00,login,38
282,191,1,2023-10-16 00:29:00,alert_fired,22
283,366,1,2024-10-09 07:22:00,dashboard_view,88
284,18,4,2023-10-16 02:22:00,alert_fired,289
285,50,6,2023-07-28 06:10:00,dashboard_view,449
286,277,6,2023-09-09 01:05:00,api_call,134
287,142,3,2024-02-04 22:15:00,export,338
288,261,6,2023-09-15 09:49:00,api_call,309
289,292,2,2024-10-01 16:07:00,export,29
290,275,4,2024-10-10 04:13:00,dashboard_view,441
291,262,5,2024-03-10 13:57:00,dashboard_view,451
292,261,5,2023-11-09 12:34:00,export,332
293,20,2,2024-10-26 01:30:00,export,406
294,263,3,2024-10-19 11:05:00,dashboard_view,254
295,251,3,2024-12-09 20:11:00,api_call,205
296,42,1,2023-08-28 08:28:00,alert_fired,295
297,9,2,2024-03-04 01:07:00,report_run,343
298,93,3,2024-07-13 11:57:00,login,364
299,126,5,2023-10-15 08:48:00,alert_fired,259
300,228,3,2024-01-07 03:06:00,report_run,142
301,342,6,2024-11-08 06:58:00,report_run,18
302,318,2,2024-05-16 11:18:00,dashboard_view,489
303,148,5,2024-09-12 17:38:00,dashboard_view,52
304,211,5,2024-04-24 10:40:00,export,27
305,143,2,2024-12-19 00:17:00,report_run,402
306,194,4,2024-12-24 23:17:00,alert_fired,55
307,117,5,2024-03-27 03:11:00,dashboard_view,492
308,309,6,2024-02-01 08:05:00,api_call,96
309,357,3,2024-11-18 11:12:00,login,39
310,123,5,2024-10-04 03:07:00,api_call,471
311,245,1,2023-09-17 04:03:00,dashboard_view,203
312,417,3,2023-10-28 15:51:00,login,469
313,229,1,2023-12-05 17:47:00,export,50
314,274,5,2024-11-08 00:49:00,api_call,330
315,218,6,2024-11-21 01:38:00,api_call,81
316,31,2,2024-03-04 22:09:00,login,380
317,251,3,2024-06-18 19:34:00,dashboard_view,94
318,190,4,2024-10-15 08:02:00,api_call,147
319,41,6,2024-12-12 16:01:00,alert_fired,164
320,162,1,2024-11-02 11:38:00,alert_fired,266
321,194,2,2024-11-12 05:56:00,api_call,459
322,306,6,2024-04-07 18:50:00,export,447
323,180,2,2024-05-11 21:33:00,api_call,390
324,93,3,2024-04-19 13:17:00,report_run,323
325,248,5,2024-11-23 16:03:00,api_call,433
326,68,6,2024-07-02 03:29:00,login,166
327,244,1,2024-05-23 09:57:00,report_run,388
328,344,5,2023-12-26 13:56:00,login,154
329,10,1,2024-07-26 21:52:00,login,308
330,80,6,2024-02-11 13:22:00,alert_fired,412
331,284,3,2024-12-16 08:03:00,report_run,192
332,290,6,2024-10-07 01:25:00,export,22
333,245,2,2024-11-28 19:27:00,report_run,32
334,405,6,2024-11-27 20:31:00,api_call,291
335,219,2,2024-09-16 09:06:00,login,133
336,337,4,2024-04-08 20:07:00,alert_fired,119
337,134,4,2023-09-24 06:50:00,login,442
338,316,2,2024-03-28 22:15:00,report_run,21
339,420,3,2024-05-22 06:21:00,dashboard_view,43
340,239,3,2024-05-06 04:40:00,dashboard_view,52
341,100,2,2024-05-26 15:56:00,api_call,232
342,262,1,2024-12-12 11:04:00,report_run,309
343,384,2,2023-10-10 05:20:00,export,130
344,6,5,2024-05-22 04:51:00,dashboard_view,23
345,357,2,2023-12-20 02:55:00,report_run,368
346,252,5,2023-08-07 10:30:00,api_call,338
347,141,6,2024-12-17 02:31:00,alert_fired,470
348,107,1,2024-11-01 22:11:00,api_call,449
349,152,2,2024-07-12 19:52:00,dashboard_view,34
350,13,2,2024-09-10 02:16:00,dashboard_view,449
351,33,3,2024-12-28 02:33:00,alert_fired,380
352,400,4,2024-02-26 17:45:00,api_call,411
353,390,4,2024-07-25 17:54:00,login,489
354,335,4,2024-10-20 21:40:00,api_call,336
