expense_id,incurred_on,department,category,amount,description
1,2024-02-20,Engineering,training,173.51,team offsite
2,2024-12-12,Sales,training,1199.1,team offsite
3,2024-12-03,Operations,software,1223.7,cloud overage
4,2024-12-14,Operations,events,3502.13,laptop
5,2024-12-05,Marketing,travel,1731.03,laptop
6,2024-02-19,People,software,1466.4,team offsite
7,2024-06-03,Sales,office,3831.04,team offsite
8,2024-07-25,Marketing,travel,2535.8,team offsite
9,2023-12-31,Product,recruiting,1356.54,job board
10,2023-10-01,Finance,recruiting,3209.97,cloud overage
11,2024-11-28,Sales,recruiting,3206.61,team offsite
12,2024-11-25,Engineering,software,2768.82,conference travel
13,2024-04-01,Engineering,recruiting,2933.4,team offsite
14,2024-10-10,Finance,cloud,1246.3,job board
15,2023-07-08,Operations,recruiting,492.18,client dinner
16,2024-05-19,Support,office,874.97,training course
17,2024-03-02,Engineering,events,2051.65,conference travel
18,2024-07-04,People,recruiting,2609.99,laptop
19,2023-07-30,Support,cloud,2173.25,team offsite
20,2023-11-02,Sales,cloud,3460.73,job board
21,2023-11-05,Support,travel,3768.6,team offsite
22,2023-09-19,Operations,cloud,3129.56,training course
23,2024-08-23,Sales,events,812.25,training course
24,2023-08-04,Finance,travel,3107.83,client dinner
25,2024-12-27,Finance,recruiting,638.69,team offsite
26,2023-10-19,Operations,travel,2056.24,job board
27,2024-05-21,Finance,travel,3541.97,laptop
28,2024-10-20,Support,cloud,1962.53,client dinner
29,2024-11-01,Product,cloud,3488.64,team offsite
30,2024-03-18,Engineering,cloud,327.86,laptop
31,2024-10-21,Product,cloud,2921.23,cloud overage
32,2024-04-24,Finance,events,882.17,training course
33,2024-07-24,Marketing,events,365.99,job board
34,2024-07-30,Operations,office,363.44,team offsite
35,2024-08-28,People,software,3355.48,cloud overage
36,2023-11-12,Support,training,3344.69,team offsite
37,2023-09-28,Engineering,recruiting,1793.77,conference travel
38,2024-05-30,Product,travel,1962.26,training course
39,2024-12-11,Engineering,recruiting,2771.06,training course
40,2023-08-01,People,office,133.43,conference travel
41,2024-05-31,Support,recruiting,3097.41,job board
42,2024-06-11,Marketing,travel,875.06,training course
43,2024-05-25,Finance,cloud,1764.35,training course
44,2024-02-06,People,software,1715.29,training course
45,2023-11-08,People,events,2178.15,conference travel
46,2023-08-12,Product,software,1903.32,cloud overage
47,2023-09-17,People,software,3379.45,conference travel
48,2023-10-24,Product,office,2675.75,cloud overage
49,2023-07-09,Engineering,cloud,2797.8,job board
50,2024-03-23,Operations,training,3437.91,job board
51,2023-09-20,Finance,events,2658.79,client dinner
52,2023-08-15,Engineering,software,342.28,cloud overage
53,2023-10-12,Engineering,office,1867.44,client dinner
54,2024-03-25,Sales,recruiting,690.02,laptop
55,2023-11-25,Sales,recruiting,1552.16,client dinner
56,2024-12-24,Support,training,1253.05,conference travel
57,2023-12-06,Support,training,1192.46,laptop
58,2024-11-26,Marketing,software,3330.38,client dinner
59,2024-08-06,Engineering,software,2886.92,job board
60,2023-08-01,Marketing,events,2252.34,cloud overage
61,2024-04-14,Engineering,recruiting,2493.06,laptop
62,2024-01-04,People,cloud,830.17,training course
63,2023-12-30,Operations,events,450.34,cloud overage
64,2024-08-29,Finance,cloud,66.05,conference travel
65,2024-05-28,Engineering,training,1243.22,job board
66,2023-12-10,Product,training,140.93,laptop
67,2023-08-02,Engineering,office,1242.47,job board
68,2024-06-17,Support,events,3914.61,team offsite
69,2023-08-30,Support,events,3959.22,client dinner
70,2024-07-10,Product,office,3292.3,training course
71,2024-08-03,Product,cloud,2243.14,job board
72,2023-11-28,Product,training,3006.64,training course
73,2024-09-24,Finance,cloud,469.45,job board
74,2024-02-11,Sales,office,78.32,laptop
75,2023-12-07,Marketing,cloud,745.47,cloud overage
76,2023-12-07,Finance,software,1312.64,client dinner
77,2024-04-20,People,recruiting,1476.63,training course
78,2024-01-17,Product,travel,963.57,conference travel
79,2023-09-29,Marketing,training,1054.1,conference travel
80,2023-12-18,Support,training,3135.47,conference travel
81,2024-08-25,Operations,recruiting,2155.62,training course
82,2024-07-03,People,cloud,215.66,cloud overage
83,2023-08-27,Engineering,software,950.47,conference travel
84,2024-04-24,Finance,training,2191.78,laptop
85,2024-05-17,Product,recruiting,1191.95,conference travel
86,2024-01-11,Finance,events,139.82,cloud overage
87,2024-08-27,People,events,2479.17,cloud overage
88,2024-08-14,Marketing,travel,2299.85,training course
89,2024-09-26,Finance,office,1199.42,job board
90,2024-01-31,Sales,cloud,3375.99,training course
91,2024-12-20,Engineering,office,2622.2,job board
92,2024-07-05,Marketing,travel,256.99,client dinner
93,2023-11-24,Finance,travel,2322.48,job board
94,2023-09-12,Operations,recruiting,459.4,client dinner
95,2024-07-11,Product,office,770.04,cloud overage
96,2024-08-21,Finance,cloud,3487.91,team offsite
97,2024-01-22,People,office,1916.65,team offsite
98,2024-01-25,Sales,recruiting,2314.0,client dinner
99,2024-03-06,Sales,events,3189.31,team offsite
100,2024-07-15,Product,office,3475.88,laptop
101,2024-01-03,Marketing,recruiting,1535.1,training course
102,2023-12-30,Engineering,training,1341.37,job board
103,2024-10-18,Product,recruiting,3609.06,cloud overage
104,2024-04-27,Marketing,recruiting,3122.27,conference travel
105,2023-08-29,Support,cloud,204.94,job board
106,2024-04-07,Engineering,events,932.31,conference travel
107,2023-11-04,Finance,events,1562.11,laptop
108,2024-09-01,Marketing,office,1777.57,conference travel
109,2024-06-10,Marketing,cloud,125.71,client dinner
110,2024-03-15,Support,software,513.62,training course
111,2024-09-11,Sales,cloud,2870.97,laptop
112,2024-02-08,Finance,cloud,3160.26,cloud overage
113,2024-12-20,Marketing,recruiting,3557.6,client dinner
114,2023-09-13,People,events,2400.62,laptop
115,2024-08-01,Operations,recruiting,2021.49,job board
116,2024-10-08,Finance,training,211.73,cloud overage
117,2024-02-07,Sales,training,2823.37,job board
118,2023-08-02,Product,training,1435.37,job board
119,2024-11-30,Marketing,travel,2680.45,cloud overage
120,2023-07-27,Support,office,2837.61,job board
121,2023-09-27,Operations,cloud,1557.27,laptop
122,2024-08-25,Engineering,office,3266.62,job board
123,2023-08-21,People,office,2042.94,conference travel
124,2023-11-25,Operations,recruiting,1340.05,client dinner
125,2024-12-24,Operations,training,2358.72,job board
126,2024-11-23,Operations,software,2318.17,job board
127,2023-08-18,Engineering,travel,1227.7,job board
128,2024-03-29,Finance,training,794.6,job board
129,2024-04-14,Support,events,2355.13,cloud overage
130,2024-09-11,Sales,cloud,1008.85,job board
131,2024-04-06,Operations,software,2908.8,laptop
132,2024-11-04,Engineering,travel,2959.82,job board
133,2024-09-28,Support,cloud,506.95,job board
134,2024-04-20,People,training,2512.29,training course
135,2024-08-15,Sales,recruiting,2983.11,conference travel
136,2023-08-25,Engineering,office,3958.19,cloud overage
137,2023-07-08,Operations,travel,2727.49,job board
138,2023-07-12,Engineering,recruiting,2286.71,laptop
139,2024-07-16,Support,office,3538.43,laptop
140,2024-12-03,Engineering,travel,3952.97,cloud overage
141,2023-09-19,Support,events,3965.54,training course
142,2024-07-25,Engineering,training,1456.33,team offsite
143,2023-10-26,Finance,software,3553.18,cloud overage
144,2024-06-12,Sales,recruiting,3159.13,conference travel
145,2024-03-26,Engineering,office,3138.08,laptop
146,2023-09-06,Finance,events,1337.45,laptop
147,2024-11-13,Engineering,events,1443.42,job board
148,2023-11-19,Support,training,2661.44,conference travel
149,2024-06-06,Operations,travel,2779.55,job board
150,2024-07-24,Engineering,office,2668.94,training course
151,2024-12-29,People,training,2932.74,conference travel
152,2023-12-02,Operations,travel,1750.0,job board
153,2024-07-09,Support,office,3510.32,conference travel
154,2024-04-29,Engineering,training,2872.86,cloud overage
155,2023-10-04,Finance,office,2541.5,laptop
156,2024-08-28,Support,software,284.99,conference travel
157,2023-11-19,Engineering,recruiting,1971.76,job board
158,2024-07-20,Finance,office,1430.71,cloud overage
159,2024-04-27,Marketing,travel,2840.85,client dinner
160,2024-10-29,Finance,training,3623.05,cloud overage
161,2024-02-27,Marketing,training,943.36,job board
162,2024-09-04,Sales,events,1026.96,team offsite
163,2024-04-13,People,training,1289.53,client dinner
164,2023-08-12,People,training,2282.21,laptop
165,2023-09-19,Support,software,2687.3,laptop
166,2023-09-08,Marketing,travel,2947.22,laptop
167,2024-04-16,Sales,training,2542.44,team offsite
168,2024-11-25,Marketing,software,1975.39,client dinner
169,2023-09-15,Engineering,travel,1669.36,job board
170,2023-07-14,Finance,travel,917.94,training course
171,2023-12-15,Operations,training,2268.62,client dinner
172,2023-08-13,Operations,training,1786.25,training course
173,2024-07-04,Finance,cloud,2762.61,job board
174,2024-11-22,Product,software,1530.05,training course
175,2023-12-06,Product,office,3089.35,conference travel
176,2024-02-11,Operations,training,1661.39,client dinner
177,2023-11-10,Marketing,cloud,643.69,team offsite
178,2024-07-26,Product,software,1260.97,cloud overage
179,2024-03-22,Support,events,1078.45,client dinner
180,2023-07-11,Operations,training,862.85,team offsite
181,2024-03-01,People,events,2080.6,training course
182,2024-09-23,People,events,219.95,team offsite
183,2024-09-15,Operations,software,289.47,laptop
184,2024-04-07,Product,travel,1116.65,client dinner
185,2023-07-11,Marketing,cloud,3569.85,client dinner
186,2023-10-23,Sales,cloud,2465.96,team offsite
187,2023-07-11,People,cloud,2374.55,training course
188,2024-08-23,People,office,2853.8,job board
189,2023-08-09,Engineering,cloud,3397.73,client dinner
190,2024-06-03,People,office,2032.67,conference travel
191,2023-12-13,People,office,641.04,training course
192,2023-11-14,Engineering,cloud,973.08,training course
193,2024-08-27,Support,travel,2192.76,client dinner
194,2024-05-18,Support,events,2171.08,training course
195,2024-01-12,Operations,office,1645.98,laptop
196,2024-03-26,People,training,3457.96,team offsite
197,2024-01-06,Finance,office,1431.01,client dinner
198,2023-07-04,People,cloud,1848.07,laptop
199,2024-01-30,Product,office,836.69,laptop
200,2024-04-29,People,cloud,200.91,team offsite
201,2023-07-22,Finance,travel,3204.53,job board
202,2024-07-15,Finance,events,3668.22,training course
203,2024-05-28,Product,recruiting,3128.1,conference travel
204,2024-11-19,Support,events,33.85,team offsite
205,2024-11-08,People,events,1390.42,conference travel
206,2024-04-21,Operations,office,989.14,client dinner
207,2023-08-10,People,office,59.41,job board
208,2024-04-20,Marketing,training,75.05,client dinner
209,2024-08-22,Operations,travel,2522.74,training course
210,2024-03-17,Operations,office,296.65,team offsite
211,2024-11-26,Product,events,831.13,job board
212,2024-03-10,Support,events,2032.91,job board
213,2024-10-05,Operations,travel,3888.52,team offsite
214,2023-07-15,People,training,1458.22,job board
215,2023-09-23,Sales,training,3401.5,job board
216,2024-03-27,Product,cloud,3718.88,laptop
217,2024-05-02,Product,training,1708.5,training course
218,2023-07-21,Operations,events,2699.52,conference travel
219,2023-12-02,Engineering,office,3533.3,cloud overage
220,2024-10-11,Finance,training,3478.01,cloud overage
221,2024-12-03,Product,travel,495.79,training course
222,2024-04-15,Product,travel,619.1,laptop
223,2024-05-30,Marketing,travel,2698.51,conference travel
224,2024-11-28,Support,training,1649.51,training course
225,2024-07-26,Sales,software,3556.62,cloud overage
226,2023-12-19,Finance,training,671.44,job board
227,2023-07-08,Sales,software,2860.38,laptop
228,2023-08-25,People,cloud,3242.82,laptop
229,2023-12-14,Operations,software,1682.01,training course
230,2024-12-10,Engineering,travel,380.26,client dinner
231,2024-01-04,Product,events,953.93,training course
232,2023-10-03,Product,events,3571.35,client dinner
233,2024-09-16,Engineering,cloud,2815.28,conference travel
234,2023-11-06,Sales,recruiting,3058.1,training course
235,2024-09-04,Sales,travel,2341.8,client dinner
236,2023-11-02,Sales,events,2525.74,conference travel
237,2023-07-24,Support,recruiting,2556.82,training course
238,2024-03-11,Engineering,recruiting,3848.77,cloud overage
239,2023-07-11,People,recruiting,3077.82,client dinner
240,2024-05-28,Operations,cloud,3081.06,team offsite
241,2024-05-29,Marketing,office,2063.85,conference travel
