line_id,invoice_id,description,quantity,unit_price,line_total
1,1,support plan,1,1716.7,1716.7
2,1,subscription,10,219.35,2193.5
3,2,onboarding services,6,1632.17,9793.02
4,2,add-on seats,9,76.73,690.57
5,2,add-on seats,1,349.23,349.23
6,3,usage overage,6,1221.11,7326.66
7,4,add-on seats,3,977.68,2933.04
8,4,subscription,6,822.28,4933.68
9,5,support plan,1,467.22,467.22
10,5,add-on seats,9,1684.69,15162.21
11,6,onboarding services,7,1673.31,11713.17
12,6,subscription,5,145.38,726.9
13,6,add-on seats,5,808.81,4044.05
14,7,subscription,9,1745.3,15707.7
15,8,onboarding services,4,86.4,345.6
16,8,support plan,2,1333.06,2666.12
17,8,usage overage,7,148.27,1037.89
18,9,onboarding services,4,1071.73,4286.92
19,9,usage overage,7,509.89,3569.23
20,9,onboarding services,1,970.3,970.3
21,10,support plan,3,649.98,1949.94
22,11,support plan,3,1551.92,4655.76
23,11,usage overage,4,443.1,1772.4
24,12,onboarding services,4,1317.73,5270.92
25,12,onboarding services,4,649.78,2599.12
26,12,support plan,7,207.13,1449.91
27,13,onboarding services,1,1207.25,1207.25
28,13,usage overage,5,645.12,3225.6
29,13,support plan,5,998.67,4993.35
30,14,subscription,9,923.03,8307.27
31,14,add-on seats,2,1567.51,3135.02
32,15,usage overage,4,710.65,2842.6
33,16,onboarding services,3,248.09,744.27
34,17,onboarding services,7,180.74,1265.18
35,17,subscription,6,1536.24,9217.44
36,18,usage overage,6,1007.0,6042.0
37,18,support plan,7,768.96,5382.72
38,18,usage overage,8,753.17,6025.36
39,19,add-on seats,4,1696.58,6786.32
40,19,onboarding services,2,612.68,1225.36
41,19,support plan,10,239.38,2393.8
42,20,subscription,1,1346.21,1346.21
43,20,onboarding services,7,1267.42,8871.94
44,20,add-on seats,2,803.56,1607.12
45,21,usage overage,1,960.43,960.43
46,22,subscription,5,1022.21,5111.05
47,22,support plan,3,1750.61,5251.83
48,22,usage overage,7,761.91,5333.37
49,23,onboarding services,9,250.17,2251.53
50,24,subscription,3,1465.98,4397.94
51,24,usage overage,9,182.73,1644.57
52,24,subscription,5,953.88,4769.4
53,25,support plan,6,568.13,3408.78
54,26,onboarding services,4,1441.27,5765.08
55,26,onboarding services,9,586.05,5274.45
56,27,add-on seats,1,307.91,307.91
57,28,subscription,2,605.45,1210.9
58,28,subscription,5,1650.69,8253.45
59,29,support plan,2,74.82,149.64
60,30,subscription,4,1109.69,4438.76
61,30,add-on seats,8,1061.23,8489.84
62,30,onboarding services,6,1260.66,7563.96
63,31,add-on seats,3,1512.31,4536.93
64,31,add-on seats,9,1576.47,14188.23
65,31,add-on seats,10,1239.19,12391.9
66,32,onboarding services,3,1310.27,3930.81
67,32,onboarding services,7,1189.03,8323.21
68,32,subscription,2,830.06,1660.12
69,33,add-on seats,9,1264.61,11381.49
70,33,usage overage,5,861.04,4305.2
71,33,onboarding services,1,491.9,491.9
72,34,support plan,3,831.44,2494.32
73,35,onboarding services,8,1380.35,11042.8
74,36,subscription,7,1348.53,9439.71
75,37,onboarding services,3,656.85,1970.55
76,38,add-on seats,3,1463.68,4391.04
77,39,usage overage,7,417.47,2922.29
78,39,add-on seats,8,976.81,7814.48
79,40,usage overage,1,1291.88,1291.88
80,41,support plan,9,641.81,5776.29
81,41,usage overage,10,949.64,9496.4
82,42,onboarding services,3,412.87,1238.61
83,42,onboarding services,3,862.93,2588.79
84,42,usage overage,7,693.39,4853.73
85,43,support plan,10,1542.03,15420.3
86,44,usage overage,4,1000.3,4001.2
87,44,subscription,5,1306.38,6531.9
88,44,add-on seats,7,1277.03,8939.21
89,45,support plan,6,1538.99,9233.94
90,46,subscription,9,1176.43,10587.87
91,47,usage overage,3,1609.44,4828.32
92,47,subscription,10,1102.27,11022.7
93,47,add-on seats,1,1235.66,1235.66
94,48,support plan,1,146.31,146.31
95,48,add-on seats,10,106.12,1061.2
96,49,add-on seats,7,177.93,1245.51
97,49,subscription,10,773.4,7734.0
98,50,usage overage,7,104.39,730.73
99,50,onboarding services,1,1033.89,1033.89
100,51,add-on seats,4,1245.14,4980.56
101,51,subscription,6,1376.02,8256.12
102,51,add-on seats,5,944.79,4723.95
103,52,subscription,6,1687.8,10126.8
104,53,support plan,3,430.03,1290.09
105,54,onboarding services,7,568.54,3979.78
106,54,support plan,3,1229.97,3689.91
107,54,add-on seats,5,683.85,3419.25
108,55,subscription,5,456.58,2282.9
109,55,onboarding services,7,940.34,6582.38
110,56,usage overage,2,667.57,1335.14
111,57,subscription,4,1255.3,5021.2
