lead_id,campaign_id,created_on,source,status,est_value
1,22,2024-05-01,webinar,lost,4829.86
2,13,2024-09-06,partner,won,23812.96
3,21,2023-07-26,partner,lost,1312.81
4,18,2024-04-01,outbound,new,7052.76
5,19,2024-04-30,webinar,won,9488.68
6,17,2023-12-19,outbound,qualified,18679.87
7,8,2024-04-16,content,lost,2131.71
8,18,2024-12-23,partner,qualified,6283.63
9,7,2024-02-13,outbound,new,20113.09
10,5,2024-12-12,content,lost,2498.73
11,1,2024-05-20,webinar,qualified,2237.35
12,24,2023-10-22,partner,qualified,10691.61
13,10,2024-12-24,partner,won,21237.26
14,7,2024-12-30,partner,lost,12549.65
15,4,2024-11-09,content,new,6350.37
16,2,2024-11-23,content,lost,8757.08
17,10,2024-06-08,webinar,qualified,18901.31
18,1,2024-03-29,webinar,qualified,16905.94
19,11,2024-05-26,webinar,lost,19464.0
20,10,2024-02-23,outbound,qualified,616.49
21,6,2024-10-26,outbound,new,4572.73
22,22,2024-02-26,content,new,15376.45
23,22,2024-06-01,content,qualified,2818.85
24,13,2024-06-22,search,new,2644.54
25,16,2024-06-03,webinar,qualified,21693.4
26,12,2024-09-16,outbound,new,3326.02
27,9,2024-11-01,content,qualified,21463.93
28,19,2024-12-07,search,won,12579.2
29,10,2024-10-06,outbound,qualified,20045.78
30,19,2024-03-17,webinar,qualified,20095.66
31,14,2024-12-28,outbound,new,22085.97
32,15,2024-09-28,search,qualified,13927.11
33,3,2024-11-17,outbound,won,9011.71
34,23,2024-06-10,partner,new,8989.32
35,8,2024-11-16,search,new,3642.34
36,7,2023-12-19,content,lost,6079.37
37,10,2024-10-22,search,lost,16050.47
38,17,2024-12-18,webinar,new,10310.56
39,10,2024-10-06,partner,won,9396.14
40,9,2024-08-21,partner,qualified,10550.0
41,2,2024-07-07,partner,lost,7711.85
42,21,2024-08-28,content,won,9850.5
43,20,2024-11-27,webinar,qualified,2304.59
44,18,2024-07-24,events,qualified,14326.72
