payment_id,invoice_id,paid_on,amount,method,status
1,1,2023-08-12,3910.2,wire,settled
2,2,2023-09-14,10832.82,card,settled
3,3,2023-10-08,7326.66,wire,settled
4,4,2023-11-23,7866.72,wire,settled
5,5,2023-12-07,15629.43,ach,settled
6,7,2024-06-09,15707.7,card,settled
7,8,2024-07-29,4049.61,card,settled
8,9,2024-08-14,8826.45,card,settled
9,10,2024-09-13,1949.94,wire,settled
10,11,2024-11-20,6428.16,ach,settled
11,12,2024-12-05,9319.95,card,settled
12,13,2023-07-10,9426.2,wire,settled
13,15,2023-09-12,2842.6,wire,settled
14,17,2023-11-21,10482.62,card,settled
15,18,2023-12-17,17450.08,wire,settled
16,19,2024-01-20,10405.48,ach,settled
17,20,2024-02-09,11825.27,ach,settled
18,21,2024-03-26,960.43,wire,settled
19,23,2024-08-06,2251.53,card,settled
20,24,2024-10-18,10811.91,ach,settled
21,25,2024-11-10,3408.78,wire,settled
22,26,2024-12-17,11039.53,wire,settled
23,27,2023-07-22,307.91,wire,settled
24,28,2023-08-25,9464.35,card,settled
25,29,2023-09-06,149.64,wire,settled
26,30,2023-11-09,20492.56,wire,settled
27,31,2024-02-19,31117.06,wire,settled
28,32,2024-05-13,13914.14,wire,settled
29,33,2024-06-10,16178.59,ach,settled
30,35,2024-08-23,11042.8,ach,settled
31,36,2024-10-27,9439.71,ach,settled
32,37,2024-11-07,1970.55,wire,settled
33,38,2024-12-16,4391.04,wire,settled
34,39,2023-07-06,10736.77,card,settled
35,41,2023-09-11,15272.69,ach,settled
36,42,2023-10-10,8681.13,wire,settled
37,43,2023-11-17,15420.3,card,settled
38,44,2023-12-15,19472.31,card,settled
39,45,2024-02-09,9233.94,ach,settled
40,46,2024-04-29,10587.87,card,settled
41,47,2024-05-18,17086.68,wire,settled
42,48,2024-07-13,1207.51,wire,settled
43,49,2024-08-13,8979.51,wire,settled
44,50,2024-09-05,1764.62,wire,settled
45,51,2024-10-10,17960.63,ach,settled
46,54,2023-07-19,11088.94,card,settled
47,56,2023-09-09,1335.14,wire,settled
48,57,2023-11-07,31677.54,card,settled
49,58,2023-12-27,16408.56,card,settled
50,59,2024-03-09,6530.38,wire,settled
51,60,2024-04-16,11475.0,wire,settled
52,61,2024-05-26,29081.09,wire,settled
53,62,2024-06-14,12236.16,card,settled
54,63,2024-07-22,16942.0,ach,settled
55,65,2024-11-09,24803.37,ach,settled
56,67,2023-09-10,14836.17,card,settled
57,70,2023-12-23,19833.65,ach,settled
58,71,2024-01-19,5943.55,ach,settled
59,72,2024-02-17,6807.0,wire,settled
60,73,2024-04-05,8878.98,card,settled
61,74,2024-05-07,29714.51,card,settled
62,75,2024-06-13,15790.2,wire,settled
63,76,2024-07-20,13685.4,ach,settled
64,77,2024-08-14,15421.74,ach,settled
65,78,2024-09-12,2516.81,wire,settled
66,80,2024-12-18,556.08,ach,settled
67,81,2023-07-26,13303.58,wire,settled
68,82,2023-08-28,4931.28,card,settled
69,84,2023-12-14,9621.32,card,settled
70,85,2024-01-21,35406.76,wire,settled
