bill_id,vendor_id,billed_on,due_on,amount,status
1,76,2024-06-24,2024-07-24,21104.84,paid
2,24,2024-07-23,2024-08-22,5861.08,paid
3,45,2024-04-01,2024-05-01,22065.87,paid
4,46,2023-08-16,2023-09-15,13351.73,open
5,18,2023-10-12,2023-11-11,5227.68,paid
6,51,2023-12-13,2024-01-12,18880.44,paid
7,11,2024-11-13,2024-12-13,4156.91,paid
8,79,2024-12-31,2025-01-30,21523.16,paid
9,42,2024-11-11,2024-12-11,13491.82,paid
10,16,2024-06-12,2024-07-12,21570.6,paid
11,69,2024-12-13,2025-01-12,19617.92,paid
12,7,2023-10-02,2023-11-01,13925.32,paid
13,55,2024-03-04,2024-04-03,8355.99,paid
14,70,2023-11-30,2023-12-30,3516.86,paid
15,53,2024-08-09,2024-09-08,16425.41,paid
16,61,2024-05-25,2024-06-24,17674.18,open
17,33,2024-04-21,2024-05-21,18811.26,paid
18,29,2024-05-20,2024-06-19,24915.69,paid
19,65,2023-12-19,2024-01-18,20538.67,paid
20,18,2023-09-19,2023-10-19,469.06,paid
21,41,2024-07-31,2024-08-30,3334.51,paid
22,67,2024-05-01,2024-05-31,17399.51,paid
23,42,2024-02-27,2024-03-28,18266.06,paid
24,55,2024-04-14,2024-05-14,7761.17,paid
25,48,2024-05-24,2024-06-23,4373.4,paid
26,18,2024-05-26,2024-06-25,14838.66,paid
27,1,2024-10-23,2024-11-22,9773.81,paid
28,8,2023-11-13,2023-12-13,21523.79,paid
29,59,2023-11-13,2023-12-13,1559.17,paid
30,1,2023-10-31,2023-11-30,17769.11,paid
31,19,2023-11-12,2023-12-12,16524.12,paid
32,47,2024-11-22,2024-12-22,9376.18,paid
33,61,2024-05-04,2024-06-03,2559.95,paid
34,39,2024-05-01,2024-05-31,1247.66,paid
35,60,2024-11-18,2024-12-18,11640.21,overdue
36,16,2023-07-08,2023-08-07,3549.61,paid
37,56,2024-07-22,2024-08-21,437.41,paid
38,72,2023-09-30,2023-10-30,20450.86,overdue
39,56,2023-08-12,2023-09-11,773.94,paid
40,34,2024-02-01,2024-03-02,205.31,overdue
41,9,2024-10-03,2024-11-02,23925.44,paid
42,55,2024-08-27,2024-09-26,20687.67,paid
43,3,2024-12-09,2025-01-08,24918.6,paid
44,57,2023-11-03,2023-12-03,7615.45,paid
45,49,2024-11-27,2024-12-27,19124.12,paid
46,29,2024-04-28,2024-05-28,20226.58,paid
47,23,2024-12-03,2025-01-02,13046.61,paid
48,1,2024-06-30,2024-07-30,11108.35,paid
49,18,2024-12-05,2025-01-04,7353.32,paid
50,57,2024-04-10,2024-05-10,4069.88,open
51,5,2023-10-25,2023-11-24,11107.32,paid
52,24,2024-01-31,2024-03-01,19356.89,paid
53,1,2023-08-03,2023-09-02,11780.47,paid
54,54,2024-10-15,2024-11-14,19515.61,paid
55,74,2023-12-29,2024-01-28,1919.5,paid
56,24,2023-12-01,2023-12-31,9475.26,paid
57,72,2024-03-31,2024-04-30,6982.37,open
58,31,2023-12-25,2024-01-24,9813.75,paid
59,36,2024-06-09,2024-07-09,23928.56,open
60,64,2024-03-17,2024-04-16,21457.28,paid
61,62,2024-10-18,2024-11-17,23412.89,paid
62,65,2024-01-05,2024-02-04,13077.81,paid
63,68,2024-01-06,2024-02-05,12908.02,paid
64,21,2024-01-01,2024-01-31,21889.06,paid
65,33,2024-12-30,2025-01-29,23487.86,paid
66,4,2024-01-10,2024-02-09,18426.66,paid
67,46,2023-09-02,2023-10-02,15639.68,paid
68,77,2024-05-05,2024-06-04,11047.27,paid
69,14,2023-09-21,2023-10-21,592.6,paid
70,15,2023-10-20,2023-11-19,22442.55,paid
71,44,2023-12-28,2024-01-27,2141.93,paid
72,17,2024-04-13,2024-05-13,19173.37,paid
73,46,2024-10-24,2024-11-23,1070.33,paid
74,65,2024-12-28,2025-01-27,16062.04,overdue
75,59,2024-08-12,2024-09-11,11406.39,paid
76,53,2024-07-25,2024-08-24,3673.05,overdue
77,69,2024-09-09,2024-10-09,21838.17,overdue
78,19,2023-11-18,2023-12-18,1343.2,paid
79,52,2024-06-02,2024-07-02,17467.14,paid
80,56,2023-07-08,2023-08-07,18035.63,paid
81,32,2023-09-06,2023-10-06,12395.14,paid
82,69,2024-01-18,2024-02-17,3578.62,paid
83,30,2023-12-18,2024-01-17,4362.83,paid
84,66,2024-01-14,2024-02-13,17465.46,paid
85,26,2024-02-29,2024-03-30,2731.62,paid
86,24,2024-09-06,2024-10-06,21433.12,paid
87,67,2024-08-10,2024-09-09,4492.3,paid
88,37,2023-08-21,2023-09-20,3606.05,open
89,64,2023-08-17,2023-09-16,13462.23,paid
90,54,2024-08-25,2024-09-24,21636.87,paid
91,46,2024-02-18,2024-03-19,12576.92,paid
92,37,2024-10-29,2024-11-28,11750.59,overdue
93,53,2024-06-08,2024-07-08,13349.64,paid
94,7,2024-06-19,2024-07-19,16073.95,paid
95,35,2023-11-01,2023-12-01,8866.61,paid
96,36,2023-07-16,2023-08-15,15388.29,paid
97,56,2024-04-26,2024-05-26,23448.3,paid
98,44,2024-06-08,2024-07-08,21310.76,paid
99,28,2024-09-12,2024-10-12,9640.11,paid
100,9,2023-11-06,2023-12-06,17901.03,paid
101,43,2023-09-17,2023-10-17,3264.07,open
102,26,2024-03-07,2024-04-06,24068.69,paid
103,22,2023-10-19,2023-11-18,23953.93,open
104,14,2024-10-16,2024-11-15,8727.63,paid
105,50,2024-12-31,2025-01-30,23958.12,paid
106,50,2024-08-25,2024-09-24,21980.12,paid
107,4,2024-10-27,2024-11-26,4355.66,paid
108,40,2023-09-22,2023-10-22,1442.69,open
109,47,2023-07-19,2023-08-18,13572.57,paid
110,46,2023-09-26,2023-10-26,23412.01,overdue
111,37,2023-12-21,2024-01-20,14088.34,paid
112,28,2023-09-25,2023-10-25,6147.08,overdue
113,43,2024-01-26,2024-02-25,18488.49,paid
114,13,2023-09-24,2023-10-24,20279.43,paid
115,11,2023-11-10,2023-12-10,15522.03,paid
116,72,2023-07-05,2023-08-04,17563.14,paid
117,40,2023-07-13,2023-08-12,11682.6,paid
118,43,2023-11-20,2023-12-20,7049.17,paid
119,56,2024-02-25,2024-03-26,10189.56,paid
120,38,2023-09-23,2023-10-23,9885.69,paid
121,9,2024-05-06,2024-06-05,310.34,paid
122,11,2024-07-10,2024-08-09,20194.5,paid
123,48,2024-06-27,2024-07-27,12746.68,paid
124,55,2024-01-29,2024-02-28,19432.76,paid
125,18,2023-07-09,2023-08-08,7622.75,paid
