po_id,vendor_id,ordered_on,amount,status,department
1,9,2024-05-05,29784.84,fulfilled,Engineering
2,76,2024-11-18,24280.12,canceled,Support
3,39,2024-01-30,2113.0,fulfilled,Product
4,39,2024-04-30,18233.72,fulfilled,Marketing
5,16,2023-12-23,31052.99,fulfilled,People
6,57,2024-08-05,10178.7,fulfilled,People
7,64,2024-07-27,32735.09,fulfilled,Engineering
8,9,2023-08-25,36787.45,open,Finance
9,37,2023-07-26,35708.91,fulfilled,Engineering
10,23,2024-01-10,18492.18,fulfilled,People
11,42,2024-05-06,2997.2,fulfilled,Sales
12,39,2023-11-21,31156.73,fulfilled,Marketing
13,43,2023-12-02,7472.28,fulfilled,People
14,58,2023-11-05,10231.6,fulfilled,Operations
15,48,2023-11-03,20647.82,fulfilled,Engineering
16,50,2024-02-22,39460.06,fulfilled,Finance
17,48,2023-09-24,8672.58,fulfilled,Marketing
18,69,2024-04-05,32999.2,canceled,Operations
19,50,2024-08-27,31095.47,open,Finance
20,20,2024-04-03,7871.62,fulfilled,Product
21,74,2023-09-23,16137.84,open,People
22,20,2024-06-04,22059.88,fulfilled,Engineering
23,29,2024-06-23,12505.4,fulfilled,Engineering
24,3,2024-09-02,31259.95,fulfilled,Product
25,57,2024-12-15,12632.3,fulfilled,People
26,13,2024-12-18,37198.84,fulfilled,Sales
27,6,2024-12-20,15664.21,fulfilled,Operations
28,78,2024-04-30,21279.33,fulfilled,Operations
29,4,2023-07-17,545.93,fulfilled,Product
30,31,2024-09-22,29796.56,fulfilled,Operations
31,32,2024-01-05,9038.15,fulfilled,Support
32,73,2024-02-24,27613.42,fulfilled,Product
33,56,2023-09-09,33786.32,fulfilled,Sales
34,5,2024-10-02,26512.11,fulfilled,Product
35,73,2023-10-19,11997.5,canceled,Marketing
36,74,2023-11-26,15247.86,fulfilled,Product
37,28,2023-08-05,35897.77,fulfilled,Engineering
38,18,2024-05-17,20770.41,fulfilled,Engineering
39,27,2024-05-15,3073.97,fulfilled,Engineering
40,65,2024-07-05,5007.64,fulfilled,People
41,39,2024-05-17,8697.9,fulfilled,Engineering
42,78,2023-12-30,4623.67,fulfilled,People
43,6,2023-09-25,30473.2,fulfilled,Engineering
44,21,2024-01-17,24130.88,fulfilled,People
45,26,2024-03-25,9612.73,fulfilled,Engineering
46,55,2024-05-19,35431.62,fulfilled,Product
47,9,2024-11-04,29838.63,fulfilled,Product
48,29,2023-08-29,39588.21,fulfilled,Marketing
49,78,2024-07-08,2451.53,canceled,Finance
50,35,2024-04-17,3694.76,fulfilled,Product
51,63,2024-08-23,14686.13,fulfilled,Product
52,72,2024-02-15,30749.95,fulfilled,Sales
53,70,2024-05-15,14319.51,fulfilled,Product
54,54,2024-02-01,30474.08,fulfilled,Marketing
55,49,2024-05-26,27259.48,open,Finance
56,65,2024-06-23,18010.18,fulfilled,Operations
57,54,2024-06-21,36560.51,fulfilled,Operations
58,31,2024-10-23,15818.37,fulfilled,Product
59,17,2023-07-02,15971.48,fulfilled,Operations
60,80,2024-09-01,39207.68,open,Operations
61,16,2023-08-23,10476.11,fulfilled,Product
62,4,2024-02-24,12899.63,fulfilled,Support
63,53,2024-02-01,27203.42,canceled,Engineering
64,33,2024-01-13,22397.78,fulfilled,Finance
65,34,2024-02-26,3688.59,fulfilled,Finance
66,17,2024-02-19,22148.33,fulfilled,Product
67,79,2024-02-24,24732.6,open,Operations
68,13,2023-12-13,16790.78,fulfilled,Finance
69,60,2024-08-28,11235.61,fulfilled,People
70,58,2024-10-13,1683.61,fulfilled,Marketing
71,36,2023-09-28,3567.5,fulfilled,Marketing
72,60,2024-11-15,37481.58,fulfilled,Finance
73,22,2024-12-29,18329.53,fulfilled,Operations
74,64,2024-01-03,35061.56,fulfilled,Support
75,37,2023-09-21,21236.97,fulfilled,Support
76,28,2024-12-31,27673.69,fulfilled,Finance
77,9,2023-11-08,22458.35,fulfilled,Sales
78,71,2024-11-09,8757.06,fulfilled,Support
79,69,2024-03-23,15546.31,fulfilled,Product
80,52,2024-04-13,21117.31,fulfilled,Marketing
81,72,2024-03-29,29871.6,fulfilled,Engineering
82,74,2024-02-14,33448.12,fulfilled,Support
83,76,2024-04-27,25996.61,fulfilled,Support
84,49,2024-01-09,35427.12,open,Engineering
85,62,2024-11-16,30875.07,fulfilled,Finance
86,11,2024-03-08,21032.28,fulfilled,Engineering
87,37,2023-09-11,30232.03,fulfilled,Sales
88,25,2024-05-31,35637.38,fulfilled,Finance
89,3,2023-08-13,34350.84,open,Finance
90,66,2024-12-05,34881.31,fulfilled,People
91,31,2023-10-13,4935.26,fulfilled,Sales
92,34,2023-08-21,10641.5,fulfilled,Product
93,20,2024-06-08,16410.34,fulfilled,Sales
94,80,2024-01-15,34408.05,fulfilled,Sales
95,4,2024-12-16,36615.01,fulfilled,Sales
96,16,2024-04-24,30423.97,fulfilled,Marketing
97,30,2023-07-07,30652.77,fulfilled,People
98,36,2024-03-25,2910.34,canceled,Product
99,63,2024-01-19,11860.04,fulfilled,People
100,42,2024-09-11,9898.08,fulfilled,Marketing
101,46,2024-03-10,2508.38,fulfilled,Marketing
102,62,2024-09-14,8105.62,fulfilled,Product
103,41,2024-08-06,11933.49,fulfilled,Product
104,57,2023-08-28,25928.29,fulfilled,People
105,28,2023-12-07,35713.11,fulfilled,People
106,23,2023-10-16,8300.36,fulfilled,Sales
107,68,2024-11-29,29694.24,fulfilled,People
108,30,2024-07-23,1610.0,canceled,Sales
109,19,2024-09-09,11446.85,fulfilled,Operations
110,32,2024-04-14,28998.06,fulfilled,Operations
111,50,2024-04-08,37918.22,fulfilled,Engineering
112,41,2024-07-26,24586.29,fulfilled,Sales
113,74,2023-12-12,25694.96,fulfilled,Product
114,80,2024-09-09,24221.18,fulfilled,Sales
115,48,2023-11-17,32674.35,open,Marketing
116,42,2024-08-12,38452.12,fulfilled,Operations
117,61,2023-07-23,37663.29,fulfilled,People
118,51,2023-08-08,22836.57,fulfilled,Marketing
119,21,2023-07-27,9887.78,fulfilled,Product
120,50,2024-12-30,38709.05,fulfilled,Finance
121,12,2024-03-20,10135.35,fulfilled,Marketing
122,58,2023-07-29,24984.35,canceled,Support
123,47,2024-03-02,25871.58,fulfilled,Marketing
124,40,2023-08-05,8904.98,fulfilled,Support
125,12,2024-11-06,33867.2,fulfilled,Finance
126,10,2023-12-17,27776.13,fulfilled,Operations
127,23,2024-01-02,9878.46,canceled,Marketing
128,79,2023-08-15,17878.83,open,Product
129,27,2024-10-04,9174.68,fulfilled,Sales
130,31,2024-11-29,9019.31,fulfilled,Engineering
131,26,2023-11-23,36234.89,open,Finance
132,48,2024-02-08,1390.63,open,Marketing
133,11,2024-08-29,11829.67,fulfilled,Engineering
134,47,2023-07-24,34199.33,fulfilled,Sales
135,12,2023-12-28,20484.18,open,Marketing
136,15,2024-03-16,13277.81,fulfilled,Support
137,52,2023-12-02,31433.13,fulfilled,Marketing
138,5,2024-07-27,8269.32,fulfilled,Marketing
139,71,2024-10-15,11879.82,fulfilled,Marketing
140,7,2023-11-10,12497.07,fulfilled,Engineering
141,33,2023-11-23,26211.27,fulfilled,Support
142,22,2023-10-30,29897.22,fulfilled,Engineering
143,68,2024-10-26,14259.72,fulfilled,People
144,80,2023-11-23,19575.88,fulfilled,Support
145,16,2024-12-14,22135.5,fulfilled,People
146,65,2023-09-29,15003.63,fulfilled,Product
147,78,2024-11-02,847.4,fulfilled,Product
148,44,2024-04-18,14095.76,fulfilled,People
149,54,2024-11-22,1483.84,fulfilled,Product
150,23,2024-02-27,31089.39,fulfilled,Product
151,42,2024-04-01,14976.02,fulfilled,Marketing
152,11,2024-03-08,32807.46,fulfilled,Engineering
153,50,2024-12-01,26909.23,fulfilled,Marketing
154,50,2024-07-03,37331.7,fulfilled,People
155,19,2024-02-06,37920.01,fulfilled,Support
156,74,2024-02-24,21752.93,fulfilled,Engineering
157,33,2024-01-20,7952.88,fulfilled,Operations
158,75,2023-09-16,18489.47,fulfilled,Operations
159,27,2024-10-23,15486.48,fulfilled,Operations
160,32,2024-09-05,18325.83,fulfilled,Support
161,45,2024-06-24,36869.83,fulfilled,Support
162,18,2024-07-31,36716.64,fulfilled,Marketing
163,2,2024-01-09,5195.77,open,Operations
164,17,2024-05-05,19417.17,fulfilled,Engineering
165,9,2024-12-29,29034.88,open,Finance
166,36,2024-04-11,18366.61,fulfilled,Product
167,42,2024-06-14,1702.33,fulfilled,Engineering
168,73,2023-10-09,6268.35,fulfilled,Sales
169,33,2024-12-12,12436.35,fulfilled,Finance
170,54,2024-02-18,14549.14,open,Product
171,52,2024-11-15,37943.7,fulfilled,Engineering
172,60,2024-08-10,28033.53,open,People
173,31,2023-11-09,38778.19,fulfilled,People
174,50,2024-10-05,10726.54,fulfilled,Operations
175,59,2024-08-28,9942.78,open,Engineering
176,30,2023-09-29,35084.16,fulfilled,Engineering
177,80,2023-07-04,4710.14,fulfilled,Support
178,61,2023-11-19,4076.67,fulfilled,Operations
179,44,2023-11-04,18542.36,fulfilled,Engineering
180,52,2024-10-19,36460.77,open,Marketing
181,77,2024-01-03,20884.18,fulfilled,Engineering
182,46,2024-10-08,1758.58,fulfilled,Marketing
183,71,2024-02-11,11115.45,fulfilled,People
184,15,2023-07-25,7170.42,fulfilled,Marketing
185,18,2023-07-22,16513.4,fulfilled,Support
186,7,2023-08-03,24559.65,fulfilled,Marketing
187,76,2024-12-17,36608.45,canceled,Product
188,40,2024-02-12,12677.87,open,Sales
189,79,2023-08-15,3451.15,fulfilled,Finance
190,66,2023-10-20,5288.73,fulfilled,Operations
191,47,2023-09-24,16011.54,fulfilled,Support
192,54,2024-01-04,16680.76,fulfilled,People
193,80,2023-08-18,20684.63,fulfilled,Sales
194,44,2024-06-27,4164.63,fulfilled,Product
195,64,2024-04-09,18044.02,open,Sales
196,5,2024-04-13,32077.47,fulfilled,Support
197,58,2024-05-22,23764.32,fulfilled,Support
198,15,2024-07-11,39298.45,open,Operations
199,54,2024-12-13,29636.67,fulfilled,Finance
200,34,2024-04-28,39242.22,fulfilled,Product
201,64,2023-08-26,23090.08,fulfilled,Sales
202,65,2024-10-23,26280.85,fulfilled,Support
203,35,2024-09-19,29346.9,fulfilled,Marketing
204,78,2023-08-13,38598.71,fulfilled,Finance
205,21,2024-10-30,19895.59,fulfilled,Finance
206,13,2023-11-11,36064.59,fulfilled,People
207,64,2023-12-14,12594.29,open,Marketing
