event_id,customer_id,product_id,event_ts,event_type,units
1,185,4,2024-10-08 19:05:00,dashboard_view,285
2,331,1,2024-11-10 05:21:00,login,19
3,67,3,2024-04-14 16:29:00,dashboard_view,114
4,383,1,2024-07-01 17:32:00,api_call,122
5,344,5,2024-09-25 08:14:00,login,80
6,195,6,2024-10-10 05:56:00,alert_fired,252
7,12,3,2023-07-28 04:24:00,login,138
8,63,6,2024-10-19 07:41:00,export,356
9,232,3,2024-09-20 07:07:00,api_call,71
10,197,1,2024-08-20 06:20:00,export,393
11,468,2,2024-09-13 23:28:00,export,109
12,23,6,2024-09-18 15:40:00,dashboard_view,2
13,277,6,2023-12-02 20:24:00,dashboard_view,410
14,431,6,2024-06-10 04:49:00,api_call,364
15,57,5,2024-07-13 00:59:00,login,261
16,255,4,2024-06-06 06:11:00,login,215
17,190,3,2023-12-11 21:50:00,report_run,337
18,305,4,2024-08-09 16:11:00,api_call,130
19,295,6,2024-01-28 04:40:00,export,48
20,13,2,2023-09-25 07:32:00,api_call,243
21,107,5,2024-05-01 05:45:00,dashboard_view,64
22,148,3,2024-07-08 23:10:00,login,441
23,396,4,2024-10-10 16:53:00,report_run,128
24,105,4,2024-03-28 02:15:00,login,472
25,291,1,2024-06-07 17:33:00,dashboard_view,481
26,206,1,2024-08-28 01:17:00,alert_fired,49
27,300,1,2024-01-16 14:16:00,login,443
28,68,1,2024-12-17 00:32:00,export,408
29,91,4,2024-12-27 07:46:00,dashboard_view,300
30,29,1,2024-07-28 13:43:00,alert_fired,65
31,156,2,2024-12-21 08:36:00,report_run,302
32,29,4,2024-07-28 10:04:00,api_call,234
33,311,3,2024-12-23 02:27:00,api_call,405
34,389,2,2024-10-04 12:39:00,report_run,226
35,59,3,2024-04-04 01:17:00,export,210
36,258,3,2024-06-17 20:12:00,dashboard_view,1
37,476,2,2024-07-18 03:44:00,report_run,215
38,347,3,2024-09-05 00:08:00,api_call,63
39,422,5,2024-04-12 06:00:00,api_call,253
40,334,5,2024-08-21 16:44:00,export,378
41,474,3,2024-11-15 11:31:00,export,102
42,113,6,2023-08-28 22:44:00,dashboard_view,375
43,330,5,2024-04-27 18:13:00,export,463
44,88,4,2024-11-28 09:51:00,login,52
45,9,2,2024-11-05 01:21:00,alert_fired,76
46,343,4,2023-12-11 03:13:00,login,47
47,66,2,2024-11-02 22:29:00,login,481
48,412,3,2024-10-19 13:43:00,dashboard_view,482
49,122,5,2024-05-06 18:34:00,api_call,90
50,9,3,2024-11-17 20:49:00,api_call,141
51,12,4,2024-10-18 22:07:00,api_call,58
52,206,4,2024-10-07 10:37:00,alert_fired,270
53,218,1,2024-11-11 01:03:00,export,408
54,371,5,2024-11-13 19:26:00,api_call,455
55,107,2,2024-05-02 12:49:00,export,172
56,129,1,2024-03-26 02:44:00,api_call,315
57,56,3,2024-06-07 09:30:00,export,169
58,381,3,2023-10-25 17:15:00,api_call,454
59,472,6,2024-06-22 06:09:00,api_call,170
60,207,2,2024-08-10 15:42:00,report_run,260
61,78,5,2024-04-04 22:48:00,dashboard_view,417
62,256,5,2024-10-03 18:56:00,alert_fired,162
63,79,5,2024-05-11 13:33:00,api_call,269
64,245,5,2024-12-10 12:03:00,alert_fired,355
65,428,1,2024-05-26 20:55:00,report_run,29
66,180,1,2024-10-19 00:06:00,report_run,78
67,43,2,2024-03-22 01:57:00,report_run,454
68,145,6,2024-10-11 11:58:00,report_run,146
69,375,1,2024-08-19 03:17:00,login,393
70,416,1,2023-11-09 13:46:00,dashboard_view,257
71,22,5,2023-11-08 16:03:00,report_run,265
72,172,5,2024-04-09 05:40:00,report_run,427
73,185,3,2024-03-16 23:52:00,dashboard_view,381
74,261,1,2023-10-08 11:25:00,api_call,483
75,460,3,2023-09-21 10:54:00,export,270
76,318,2,2023-10-28 04:10:00,export,46
77,359,6,2024-08-28 18:07:00,alert_fired,129
78,408,3,2024-06-14 14:50:00,api_call,45
79,415,5,2023-12-11 06:12:00,alert_fired,41
80,398,5,2023-12-21 19:41:00,dashboard_view,129
81,441,1,2023-07-21 22:17:00,report_run,86
82,409,1,2024-01-01 20:26:00,dashboard_view,251
83,212,4,2024-05-12 20:19:00,alert_fired,320
84,474,3,2024-10-07 07:35:00,api_call,326
85,457,6,2024-12-23 14:24:00,report_run,37
86,124,2,2024-12-26 02:38:00,api_call,393
87,115,5,2023-10-03 15:07:00,export,209
88,177,1,2024-10-10 18:45:00,report_run,250
89,397,5,2024-07-25 15:04:00,alert_fired,461
90,371,2,2024-07-21 19:05:00,report_run,417
91,317,3,2023-09-12 16:18:00,report_run,381
92,62,5,2024-06-28 09:33:00,export,162
93,449,6,2024-03-16 08:39:00,dashboard_view,343
94,177,2,2024-03-01 19:38:00,dashboard_view,436
95,346,4,2024-11-06 19:14:00,login,375
96,89,6,2024-10-07 10:20:00,dashboard_view,242
97,154,2,2024-01-13 06:50:00,report_run,370
98,253,5,2023-10-15 07:14:00,dashboard_view,490
99,168,3,2023-10-23 07:16:00,export,466
100,287,5,2024-11-05 04:01:00,api_call,37
101,263,5,2023-09-28 08:43:00,report_run,217
102,243,2,2024-10-18 05:19:00,login,264
