expense_id,incurred_on,department,category,amount,description
1,2024-07-22,Finance,recruiting,3070.85,conference travel
2,2024-05-07,People,events,2439.71,training course
3,2023-07-30,Marketing,software,322.74,job board
4,2024-07-16,Support,travel,399.58,training course
5,2024-09-03,Support,office,1368.09,client dinner
6,2024-12-29,Operations,office,2803.65,job board
7,2024-12-04,People,travel,2398.13,job board
8,2024-09-14,Marketing,recruiting,528.97,cloud overage
9,2024-07-09,Engineering,recruiting,3236.05,conference travel
10,2024-05-08,Engineering,software,3628.62,job board
11,2024-05-03,Support,recruiting,3379.53,cloud overage
12,2023-07-31,Finance,training,2243.24,team offsite
13,2024-05-25,Engineering,office,3326.29,laptop
14,2023-07-22,Product,recruiting,3055.0,job board
15,2024-10-11,Marketing,events,2530.25,client dinner
16,2024-12-04,Marketing,travel,950.3,client dinner
17,2024-03-08,Finance,software,2212.1,job board
18,2023-12-16,Sales,events,2311.61,team offsite
19,2023-09-10,Sales,training,2341.45,team offsite
20,2024-08-01,Product,training,1034.05,training course
21,2024-09-06,Product,software,2475.48,cloud overage
22,2024-05-24,Marketing,travel,3409.0,client dinner
23,2024-10-31,Operations,software,1693.07,client dinner
24,2024-07-28,Engineering,recruiting,2130.65,cloud overage
25,2023-12-20,Sales,software,3222.95,training course
26,2024-08-13,Sales,software,2607.78,cloud overage
27,2024-03-13,Product,recruiting,2429.74,cloud overage
28,2024-11-10,Operations,recruiting,1936.32,training course
29,2024-10-31,People,cloud,348.37,laptop
30,2024-12-13,Support,office,3846.17,conference travel
31,2024-01-05,Product,recruiting,1023.21,laptop
32,2023-10-30,Operations,cloud,3891.86,job board
33,2023-11-26,Marketing,events,1304.66,cloud overage
34,2024-11-05,Operations,events,1381.5,conference travel
35,2023-09-12,Engineering,travel,3666.34,team offsite
36,2024-04-05,Product,office,207.2,job board
37,2023-07-15,Product,events,3604.85,conference travel
38,2024-12-05,Operations,recruiting,1079.46,cloud overage
39,2023-11-20,Product,recruiting,710.33,client dinner
40,2023-10-15,Marketing,recruiting,2391.75,laptop
41,2024-10-15,Operations,events,543.72,laptop
42,2024-01-22,Support,cloud,3113.52,team offsite
43,2024-06-04,Support,travel,982.38,laptop
44,2023-07-04,Product,recruiting,2921.45,job board
45,2023-10-01,Support,cloud,727.61,job board
46,2024-03-27,Marketing,training,257.86,client dinner
47,2024-06-24,Operations,software,27.6,conference travel
48,2024-05-13,Sales,events,3445.48,client dinner
49,2024-01-23,Marketing,training,3155.1,client dinner
50,2024-02-17,Support,office,360.39,job board
51,2024-07-02,Marketing,software,3281.4,laptop
52,2023-11-05,Support,cloud,775.98,laptop
