invoice_id,customer_id,issue_date,due_date,amount,status,paid_date
12,1,2024-10-04,2024-11-03,18514.8,overdue,
17,2,2023-12-04,2024-01-03,38520.7,overdue,
25,2,2024-08-03,2024-09-02,14772.82,overdue,
36,3,2024-04-03,2024-05-03,26039.9,overdue,
47,4,2024-05-05,2024-06-04,35925.84,overdue,
70,6,2023-11-01,2023-12-01,8399.91,overdue,
72,6,2024-04-02,2024-05-02,2015.05,overdue,
74,6,2024-07-05,2024-08-04,45166.08,overdue,
75,6,2024-08-03,2024-09-02,12367.39,overdue,
117,9,2024-06-01,2024-07-01,7844.48,overdue,
134,11,2023-07-03,2023-08-02,22185.45,overdue,
144,12,2023-08-05,2023-09-04,50775.0,overdue,
162,13,2024-02-03,2024-03-04,28752.92,overdue,
170,13,2024-12-05,2025-01-04,3585.13,overdue,
191,15,2024-04-01,2024-05-01,4157.12,overdue,
206,16,2024-09-02,2024-10-02,3041.0,overdue,
235,19,2023-08-03,2023-09-02,7549.41,overdue,
270,22,2023-09-05,2023-10-05,39516.0,overdue,
271,22,2023-10-02,2023-11-01,5675.59,overdue,
273,22,2023-12-01,2023-12-31,21638.73,overdue,
286,23,2024-03-02,2024-04-01,9248.85,overdue,
294,24,2023-12-03,2024-01-02,1355.52,overdue,
332,27,2023-08-01,2023-08-31,5648.4,overdue,
401,32,2024-03-05,2024-04-04,14867.85,overdue,
408,32,2024-10-04,2024-11-03,12169.66,overdue,
420,33,2024-12-01,2024-12-31,8408.68,overdue,
422,34,2023-08-04,2023-09-03,36379.77,overdue,
482,39,2023-08-02,2023-09-01,44005.4,overdue,
484,39,2023-11-05,2023-12-05,47929.89,overdue,
485,39,2023-12-05,2024-01-04,11496.32,overdue,
487,39,2024-02-02,2024-03-03,14800.94,overdue,
500,40,2023-12-01,2023-12-31,25002.33,overdue,
512,41,2024-03-02,2024-04-01,24559.36,overdue,
549,44,2024-01-01,2024-01-31,5680.4,overdue,
559,45,2023-12-04,2024-01-03,4044.27,overdue,
610,49,2023-08-02,2023-09-01,24549.96,overdue,
629,50,2024-01-03,2024-02-02,22700.5,overdue,
649,51,2024-11-01,2024-12-01,19658.1,overdue,
653,52,2023-09-01,2023-10-01,9917.04,overdue,
667,53,2023-11-03,2023-12-03,10355.55,overdue,
686,55,2023-08-03,2023-09-02,38044.83,overdue,
753,60,2024-03-03,2024-04-02,50813.02,overdue,
772,62,2023-07-03,2023-08-02,5625.81,overdue,
774,62,2023-10-01,2023-10-31,30904.12,overdue,
837,66,2024-10-04,2024-11-03,33901.82,overdue,
873,69,2024-07-05,2024-08-04,34761.19,overdue,
924,73,2024-09-02,2024-10-02,25460.55,overdue,
927,74,2023-10-01,2023-10-31,24846.84,overdue,
979,78,2024-01-04,2024-02-03,3406.74,overdue,
986,78,2024-10-05,2024-11-04,42155.6,overdue,
990,79,2023-09-03,2023-10-03,15869.34,overdue,
1047,83,2024-02-04,2024-03-05,24375.69,overdue,
1078,86,2023-11-02,2023-12-02,5359.04,overdue,
1085,86,2024-11-05,2024-12-05,18001.31,overdue,
1108,88,2024-04-02,2024-05-02,23908.57,overdue,
1134,90,2024-07-03,2024-08-02,45694.98,overdue,
1145,91,2024-10-02,2024-11-01,33212.04,overdue,
1167,93,2024-02-03,2024-03-04,30974.62,overdue,
1201,96,2023-07-02,2023-08-01,23849.95,overdue,
1204,96,2023-10-01,2023-10-31,56224.1,overdue,
1245,99,2023-10-02,2023-11-01,9270.31,overdue,
1256,100,2023-07-04,2023-08-03,21953.53,overdue,
1286,102,2024-01-02,2024-02-01,26506.84,overdue,
1330,105,2024-07-05,2024-08-04,5059.32,overdue,
1352,107,2023-10-01,2023-10-31,6865.84,overdue,
1372,108,2024-12-01,2024-12-31,13508.48,overdue,
1395,110,2024-08-05,2024-09-04,41341.64,overdue,
1399,111,2023-09-02,2023-10-02,20927.68,overdue,
1422,112,2024-11-02,2024-12-02,1163.0,overdue,
1423,112,2024-12-04,2025-01-03,1822.52,overdue,
1451,115,2024-03-05,2024-04-04,20219.08,overdue,
1460,116,2023-08-03,2023-09-02,47464.7,overdue,
1466,116,2024-03-05,2024-04-04,13465.04,overdue,
1508,119,2024-09-01,2024-10-01,37260.2,overdue,
1509,119,2024-10-05,2024-11-04,20566.5,overdue,
1530,121,2024-01-05,2024-02-04,6287.76,overdue,
1568,124,2023-08-02,2023-09-01,27820.0,overdue,
1587,125,2024-03-05,2024-04-04,4361.52,overdue,
1590,125,2024-08-03,2024-09-02,6902.82,overdue,
1625,128,2023-11-03,2023-12-03,8691.6,overdue,
1699,134,2023-09-03,2023-10-03,34772.09,overdue,
1716,135,2024-03-02,2024-04-01,7232.0,overdue,
1722,135,2024-12-01,2024-12-31,42190.5,overdue,
1731,136,2024-06-03,2024-07-03,33769.48,overdue,
1769,139,2024-09-02,2024-10-02,2364.25,overdue,
1787,141,2023-12-05,2024-01-04,29822.99,overdue,
1789,141,2024-02-01,2024-03-02,6302.44,overdue,
1797,141,2024-10-03,2024-11-02,26575.87,overdue,
1813,143,2024-02-01,2024-03-02,42076.39,overdue,
1820,143,2024-10-02,2024-11-01,29180.91,overdue,
1832,144,2024-08-03,2024-09-02,25285.72,overdue,
1839,145,2023-09-04,2023-10-04,34815.64,overdue,
1853,146,2023-10-04,2023-11-03,20814.4,overdue,
1863,146,2024-10-03,2024-11-02,32729.73,overdue,
1864,146,2024-11-03,2024-12-03,37709.92,overdue,
1920,151,2024-08-01,2024-08-31,10375.48,overdue,
1938,153,2023-12-05,2024-01-04,41104.17,overdue,
1947,153,2024-10-04,2024-11-03,23568.2,overdue,
1971,155,2024-12-04,2025-01-03,16896.29,overdue,
1994,157,2024-08-04,2024-09-03,4396.05,overdue,
2018,159,2024-05-03,2024-06-02,13521.73,overdue,
2054,162,2023-08-01,2023-08-31,28085.11,overdue,
2117,167,2024-06-03,2024-07-03,11493.43,overdue,
2119,167,2024-08-05,2024-09-04,8437.41,overdue,
2129,168,2024-04-02,2024-05-02,24653.85,overdue,
2131,168,2024-06-01,2024-07-01,7148.05,overdue,
2150,170,2024-01-04,2024-02-03,5665.02,overdue,
2156,170,2024-12-01,2024-12-31,32996.26,overdue,
2191,173,2024-05-05,2024-06-04,29603.37,overdue,
2209,175,2024-02-03,2024-03-04,9883.28,overdue,
2216,175,2024-09-01,2024-10-01,4657.68,overdue,
2221,176,2023-12-04,2024-01-03,8076.83,overdue,
2241,178,2023-09-02,2023-10-02,32668.72,overdue,
2246,178,2024-06-03,2024-07-03,57125.99,overdue,
