bill_id,vendor_id,billed_on,due_on,amount,status
1,16,2024-07-01,2024-07-31,4903.07,paid
2,68,2023-12-22,2024-01-21,18113.06,paid
3,12,2023-07-09,2023-08-08,14515.14,paid
4,52,2024-11-16,2024-12-16,12969.37,paid
5,49,2024-08-04,2024-09-03,8178.42,paid
6,37,2024-11-03,2024-12-03,17174.35,paid
7,60,2023-11-26,2023-12-26,11491.65,paid
8,38,2024-04-19,2024-05-19,2237.15,paid
9,56,2024-01-14,2024-02-13,7584.93,paid
10,52,2023-08-20,2023-09-19,20627.7,paid
11,77,2024-12-15,2025-01-14,13682.53,paid
12,49,2024-04-01,2024-05-01,3114.14,paid
13,59,2024-10-05,2024-11-04,3079.51,paid
14,64,2024-12-28,2025-01-27,12405.1,paid
15,21,2024-01-26,2024-02-25,14033.2,paid
16,13,2024-05-29,2024-06-28,23228.49,paid
17,9,2024-06-23,2024-07-23,9812.53,open
18,75,2024-04-23,2024-05-23,18259.98,paid
19,22,2024-05-25,2024-06-24,24584.81,open
20,21,2023-09-08,2023-10-08,8176.02,paid
21,63,2024-12-23,2025-01-22,6054.3,paid
22,72,2024-05-20,2024-06-19,2207.65,overdue
23,29,2023-08-09,2023-09-08,7499.55,paid
24,42,2024-01-23,2024-02-22,3250.61,paid
25,27,2023-12-19,2024-01-18,12449.28,paid
26,1,2024-06-06,2024-07-06,13354.71,paid
27,19,2024-07-11,2024-08-10,2621.1,paid
28,53,2024-06-11,2024-07-11,9053.27,paid
29,16,2024-07-07,2024-08-06,24369.21,paid
30,58,2024-04-22,2024-05-22,11059.53,open
31,58,2023-09-11,2023-10-11,14716.3,paid
32,33,2023-12-21,2024-01-20,10256.87,paid
33,10,2023-12-22,2024-01-21,24963.56,paid
34,32,2024-08-09,2024-09-08,21265.59,paid
35,18,2024-07-09,2024-08-08,8393.5,paid
36,60,2023-12-12,2024-01-11,15264.41,paid
37,56,2023-12-14,2024-01-13,22795.33,paid
38,57,2024-03-21,2024-04-20,23011.03,paid
39,22,2023-07-15,2023-08-14,349.14,paid
40,74,2024-11-13,2024-12-13,7314.8,paid
41,43,2024-11-13,2024-12-13,13780.88,paid
42,27,2023-12-15,2024-01-14,6541.24,paid
43,46,2024-12-12,2025-01-11,1613.72,paid
44,22,2023-07-14,2023-08-13,14629.97,paid
45,49,2023-08-20,2023-09-19,18376.43,open
46,68,2024-02-11,2024-03-12,23222.73,paid
47,22,2024-10-29,2024-11-28,18305.35,paid
48,49,2024-03-27,2024-04-26,9911.01,paid
49,32,2024-03-18,2024-04-17,16192.53,open
50,55,2024-03-13,2024-04-12,4530.4,paid
51,56,2023-09-14,2023-10-14,6897.42,paid
52,40,2024-10-17,2024-11-16,3690.04,paid
53,71,2024-09-04,2024-10-04,1446.22,overdue
54,48,2024-07-11,2024-08-10,24578.07,paid
55,12,2024-01-31,2024-03-01,20801.24,overdue
56,46,2024-02-05,2024-03-06,15578.38,paid
57,72,2023-10-28,2023-11-27,3262.35,paid
58,54,2024-07-26,2024-08-25,14642.33,paid
59,80,2024-04-26,2024-05-26,772.36,paid
60,30,2024-12-07,2025-01-06,3328.8,paid
61,57,2023-07-28,2023-08-27,11457.16,paid
62,20,2024-07-29,2024-08-28,19276.87,paid
63,77,2024-07-05,2024-08-04,24777.57,paid
64,57,2024-09-02,2024-10-02,18829.97,paid
65,38,2023-08-27,2023-09-26,22405.99,paid
66,59,2023-08-01,2023-08-31,13742.14,paid
67,60,2024-10-15,2024-11-14,4316.97,paid
68,80,2023-08-24,2023-09-23,10582.24,paid
69,56,2024-03-01,2024-03-31,19163.46,paid
70,57,2023-08-09,2023-09-08,9340.18,paid
