id,month,department,headcount,total_payroll,total_benefits
1,2023-07,Engineering,29,224298.42,30630.37
2,2023-07,Sales,16,171050.09,23810.0
3,2023-07,Marketing,14,95327.18,15003.89
4,2023-07,Support,24,145996.48,36948.65
5,2023-07,Finance,18,196559.93,31425.31
6,2023-07,People,26,223068.3,30113.35
7,2023-08,Engineering,11,106485.79,11004.76
8,2023-08,Sales,12,79590.68,19804.3
9,2023-08,Marketing,22,237266.02,23311.63
10,2023-08,Support,8,78515.62,12752.52
11,2023-08,Finance,18,149431.79,23179.15
12,2023-08,People,8,69926.87,10898.87
13,2023-09,Engineering,24,192006.4,39890.19
14,2023-09,Sales,21,223605.83,36955.24
15,2023-09,Marketing,11,69232.62,17077.1
16,2023-09,Support,29,224716.16,40876.4
17,2023-09,Finance,20,123416.49,30599.14
18,2023-09,People,24,183988.61,34299.15
19,2023-10,Engineering,24,223354.5,29237.54
20,2023-10,Sales,21,220079.03,21618.93
21,2023-10,Marketing,14,137207.3,24704.6
22,2023-10,Support,26,279774.13,23578.84
23,2023-10,Finance,23,200133.53,32054.51
24,2023-10,People,17,169927.81,25085.82
25,2023-11,Engineering,28,211404.62,46422.5
26,2023-11,Sales,20,132468.65,35855.21
27,2023-11,Marketing,9,83775.96,10576.65
28,2023-11,Support,16,140677.58,22041.8
29,2023-11,Finance,22,194898.11,33728.43
30,2023-11,People,24,237837.46,28518.31
31,2023-12,Engineering,9,74778.47,15873.06
32,2023-12,Sales,14,149534.63,14840.48
33,2023-12,Marketing,10,95780.8,12348.12
34,2023-12,Support,10,75031.08,14077.06
35,2023-12,Finance,13,81104.63,15442.28
36,2023-12,People,14,93163.8,23228.62
37,2024-01,Engineering,8,50688.21,7499.22
38,2024-01,Sales,19,178627.63,21763.81
39,2024-01,Marketing,14,124305.71,13401.96
40,2024-01,Support,28,280037.33,45362.57
41,2024-01,Finance,24,164814.75,22209.15
42,2024-01,People,24,183603.56,30938.1
43,2024-02,Engineering,20,180429.81,29480.97
44,2024-02,Sales,28,214279.45,26122.19
45,2024-02,Marketing,17,133002.08,16018.14
46,2024-02,Support,9,72644.05,14966.27
47,2024-02,Finance,23,140565.08,27920.67
48,2024-02,People,17,145918.48,28117.87
49,2024-03,Engineering,9,83321.83,15517.83
50,2024-03,Sales,29,274415.58,43855.81
51,2024-03,Marketing,19,171560.46,18807.18
52,2024-03,Support,27,191397.99,43345.88
53,2024-03,Finance,28,275875.06,42436.58
54,2024-03,People,12,85925.64,13956.49
55,2024-04,Engineering,16,129266.01,24596.79
56,2024-04,Sales,15,94922.32,26154.53
57,2024-04,Marketing,19,171783.59,26709.99
58,2024-04,Support,17,124939.55,26024.56
59,2024-04,Finance,25,201661.13,24718.69
60,2024-04,People,11,68380.03,16135.87
61,2024-05,Engineering,13,91687.63,20673.03
62,2024-05,Sales,18,172130.04,21675.57
63,2024-05,Marketing,19,143500.03,31437.43
64,2024-05,Support,27,284240.03,32229.53
65,2024-05,Finance,26,194109.48,36870.7
66,2024-05,People,9,92218.21,14396.39
67,2024-06,Engineering,22,164770.12,36921.46
68,2024-06,Sales,21,206280.01,30060.48
69,2024-06,Marketing,9,75286.12,14541.31
70,2024-06,Support,10,85152.32,15968.55
71,2024-06,Finance,11,84419.16,17633.89
72,2024-06,People,24,249599.32,38728.8
73,2024-07,Engineering,28,286995.96,46315.93
74,2024-07,Sales,21,204209.06,34430.36
75,2024-07,Marketing,15,147870.02,19496.27
76,2024-07,Support,17,136909.66,28950.27
77,2024-07,Finance,9,62181.79,12712.58
78,2024-07,People,22,137486.46,24567.77
79,2024-08,Engineering,27,293988.32,41857.54
80,2024-08,Sales,18,140446.03,16757.3
81,2024-08,Marketing,22,171090.13,38794.39
82,2024-08,Support,27,195186.15,33511.24
83,2024-08,Finance,9,98312.24,10619.72
84,2024-08,People,19,138878.13,17828.46
85,2024-09,Engineering,26,275846.05,45829.67
86,2024-09,Sales,19,149658.81,30635.31
87,2024-09,Marketing,27,218751.49,40325.01
88,2024-09,Support,15,148544.28,14362.87
89,2024-09,Finance,22,185142.37,37385.85
90,2024-09,People,13,86099.02,14937.48
91,2024-10,Engineering,21,175039.86,32742.25
92,2024-10,Sales,30,211924.0,52956.77
93,2024-10,Marketing,28,203612.41,40588.97
94,2024-10,Support,18,176627.62,29450.76
95,2024-10,Finance,16,106253.06,18220.82
96,2024-10,People,24,207678.29,24886.69
97,2024-11,Engineering,19,147282.14,28990.64
98,2024-11,Sales,26,266342.32,35434.73
99,2024-11,Marketing,15,90583.8,18691.31
100,2024-11,Support,8,87397.16,10995.43
101,2024-11,Finance,8,80610.51,8116.63
102,2024-11,People,26,255313.33,33909.45
103,2024-12,Engineering,8,57090.36,7775.94
104,2024-12,Sales,30,190330.94,43577.17
105,2024-12,Marketing,20,209194.34,28116.32
106,2024-12,Support,19,156395.24,31669.08
107,2024-12,Finance,10,81300.73,12913.03
108,2024-12,People,17,120468.19,22525.59
