po_id,vendor_id,ordered_on,amount,status,department
1,56,2024-01-05,1123.16,fulfilled,Operations
2,59,2023-08-15,36744.89,open,Finance
3,49,2024-05-13,21383.82,open,Support
4,27,2024-03-25,32125.05,fulfilled,Operations
5,59,2024-01-26,28724.38,fulfilled,Support
6,54,2024-09-21,39958.28,canceled,People
7,79,2024-11-26,24092.57,fulfilled,Marketing
8,43,2024-07-17,1092.17,fulfilled,Finance
9,71,2023-12-16,7024.54,fulfilled,People
10,50,2023-07-05,8835.04,open,Operations
11,39,2024-02-01,18955.93,fulfilled,Support
12,55,2024-05-19,31516.48,fulfilled,People
13,45,2024-07-09,2251.52,open,Marketing
14,33,2023-07-16,10842.26,open,Engineering
15,23,2024-05-11,1444.07,open,Marketing
16,52,2023-08-31,9202.9,open,Sales
17,24,2023-09-02,36563.6,fulfilled,Support
18,25,2023-09-21,33273.1,open,Marketing
19,69,2023-09-10,28921.99,fulfilled,Product
20,80,2024-04-03,3819.74,open,Engineering
21,80,2024-09-25,36227.02,canceled,Product
22,9,2024-03-14,1014.55,canceled,Support
23,78,2023-08-22,13883.65,canceled,People
24,23,2024-03-19,28514.23,canceled,People
25,2,2023-10-10,5075.33,open,Sales
26,45,2024-03-21,39550.44,open,Product
27,71,2024-12-11,37454.11,fulfilled,Marketing
28,75,2023-08-12,32688.63,fulfilled,Support
29,79,2023-11-24,22460.92,fulfilled,Engineering
30,11,2024-10-31,13816.12,fulfilled,Marketing
31,57,2024-12-21,33080.17,open,Marketing
32,78,2024-10-20,13767.59,fulfilled,Support
33,68,2024-07-09,20172.43,fulfilled,Finance
34,75,2023-10-17,15585.42,fulfilled,Engineering
35,41,2024-07-17,14825.33,fulfilled,Marketing
36,48,2024-01-11,15032.21,fulfilled,Marketing
37,78,2023-12-21,6456.55,fulfilled,Finance
38,73,2023-08-29,11395.99,fulfilled,Product
39,64,2024-03-15,4793.72,fulfilled,Engineering
40,24,2023-10-15,28033.61,fulfilled,Marketing
41,45,2024-02-20,33549.78,fulfilled,Marketing
42,34,2024-10-18,33531.94,canceled,Sales
43,7,2024-10-10,29581.06,open,Marketing
44,55,2024-05-17,25742.92,fulfilled,Product
45,70,2024-08-17,15971.14,fulfilled,Support
46,8,2024-06-03,2857.08,fulfilled,Marketing
47,59,2024-11-01,36909.38,fulfilled,Finance
48,28,2024-11-29,8129.01,fulfilled,Operations
49,24,2024-03-05,31906.95,fulfilled,Marketing
50,46,2024-06-09,17421.13,fulfilled,Support
51,48,2024-11-19,28125.62,canceled,Product
52,39,2023-10-16,2519.62,fulfilled,Operations
53,52,2023-12-11,29090.35,fulfilled,People
54,57,2024-01-24,25539.62,fulfilled,Sales
55,73,2023-10-11,10554.42,fulfilled,Marketing
56,44,2024-06-11,30714.2,fulfilled,Sales
57,42,2024-04-20,4943.61,fulfilled,Operations
58,76,2023-07-31,21395.76,fulfilled,Finance
59,45,2024-08-28,11719.46,fulfilled,Sales
60,58,2023-12-16,36818.31,fulfilled,People
61,52,2023-08-30,15657.48,fulfilled,Finance
62,27,2023-10-06,11632.97,fulfilled,Operations
63,73,2024-04-04,20299.8,fulfilled,Marketing
64,39,2024-07-25,27098.73,open,Product
65,69,2023-09-18,37788.12,open,Finance
66,76,2023-08-09,38789.51,fulfilled,Marketing
67,4,2023-08-02,24571.41,fulfilled,Finance
68,72,2023-10-02,15343.47,canceled,Support
69,49,2024-12-27,26551.46,fulfilled,Support
70,58,2024-09-22,30127.6,fulfilled,Sales
71,65,2024-05-20,16203.26,fulfilled,Product
72,22,2024-06-28,34325.5,fulfilled,Operations
73,64,2024-10-09,32061.36,fulfilled,Support
74,73,2024-01-17,1416.89,fulfilled,Finance
75,62,2024-03-10,11165.04,canceled,Marketing
76,62,2023-11-03,9299.78,open,Engineering
77,24,2024-04-12,37642.64,fulfilled,Engineering
78,69,2024-04-05,37160.57,fulfilled,Operations
79,45,2024-02-06,37146.47,fulfilled,Marketing
80,64,2024-01-13,37537.04,fulfilled,Product
81,45,2024-07-26,10452.44,canceled,Engineering
82,38,2024-10-19,19965.99,open,Operations
83,61,2024-03-03,12046.45,fulfilled,Operations
84,78,2024-06-01,37759.56,open,Product
85,46,2023-07-27,27638.85,fulfilled,Engineering
86,6,2024-09-17,20353.69,fulfilled,Finance
87,67,2024-03-07,11318.16,open,Product
88,56,2024-04-09,10237.39,canceled,People
89,44,2024-10-06,31832.88,fulfilled,People
90,67,2023-09-20,30924.26,fulfilled,People
91,11,2024-10-07,19560.32,fulfilled,Product
92,62,2024-10-14,27882.84,fulfilled,Support
93,52,2024-11-07,25831.06,open,Sales
94,29,2024-04-27,23289.83,fulfilled,People
95,76,2024-05-16,31913.69,fulfilled,Sales
96,8,2024-09-09,9263.94,fulfilled,Operations
97,48,2024-02-24,33922.41,open,Support
98,79,2023-08-12,31229.25,fulfilled,People
99,36,2024-09-22,9179.21,fulfilled,People
100,10,2024-08-11,7162.01,fulfilled,Support
101,29,2024-12-21,21297.51,fulfilled,Marketing
102,74,2023-10-06,30554.06,fulfilled,Sales
103,58,2024-04-28,35306.74,fulfilled,Product
104,21,2024-10-27,8466.72,fulfilled,People
105,49,2024-07-27,25633.42,canceled,Marketing
106,1,2024-10-18,18154.53,open,Support
107,12,2024-05-08,18757.14,open,People
108,44,2024-02-27,13842.12,open,Support
109,69,2024-11-10,21426.13,fulfilled,Engineering
110,74,2023-12-01,14148.96,canceled,Finance
111,65,2023-10-20,26282.23,fulfilled,Sales
112,14,2024-02-06,12866.24,fulfilled,Sales
113,42,2024-12-09,21843.16,fulfilled,Finance
114,76,2023-10-24,35616.16,fulfilled,Finance
115,52,2023-10-09,13015.29,fulfilled,Support
116,18,2023-12-22,8288.35,open,Engineering
117,10,2024-12-17,28595.69,fulfilled,Sales
118,64,2024-09-29,18156.25,fulfilled,Sales
119,45,2024-11-07,31859.62,fulfilled,Engineering
120,15,2024-05-15,2499.08,fulfilled,Product
121,62,2023-12-11,39359.58,fulfilled,Operations
122,52,2024-07-05,11211.51,fulfilled,Sales
123,71,2023-09-13,31625.88,fulfilled,Sales
124,27,2024-04-10,32747.03,fulfilled,Operations
125,15,2023-08-26,21961.03,canceled,People
126,51,2024-07-03,21393.79,open,Support
127,45,2024-08-03,1164.4,fulfilled,People
128,35,2024-08-10,8730.21,open,Finance
129,27,2024-09-29,32673.87,fulfilled,Sales
130,32,2024-10-28,34106.02,fulfilled,Support
131,30,2024-10-16,8959.96,fulfilled,Product
132,62,2024-06-17,4746.09,fulfilled,Sales
133,59,2024-06-13,6050.63,fulfilled,Sales
134,4,2023-10-19,31588.17,canceled,Support
135,1,2024-08-22,16288.79,canceled,People
136,73,2023-08-24,7301.06,fulfilled,Operations
137,35,2023-12-19,19513.32,fulfilled,Operations
138,68,2023-09-15,31689.76,open,Sales
139,29,2023-08-29,2239.32,fulfilled,Marketing
140,71,2024-12-21,6274.04,fulfilled,Engineering
141,78,2024-09-20,21763.17,fulfilled,Sales
142,13,2024-12-23,3502.68,fulfilled,Engineering
143,73,2024-12-03,2961.01,fulfilled,Finance
144,5,2024-12-24,35501.95,fulfilled,Operations
145,7,2023-08-05,20364.1,fulfilled,Sales
146,1,2024-11-07,35658.48,fulfilled,People
147,21,2024-06-15,30509.21,fulfilled,Engineering
148,78,2023-11-10,5780.88,fulfilled,Engineering
149,17,2024-05-30,20135.62,fulfilled,Finance
150,44,2023-11-06,12067.2,fulfilled,Operations
151,8,2024-07-13,23082.65,fulfilled,Finance
152,47,2023-09-25,39544.24,fulfilled,Support
153,55,2024-04-02,34110.08,open,Finance
154,67,2024-12-27,26329.84,fulfilled,Product
155,63,2024-01-20,29319.75,fulfilled,People
156,60,2023-09-05,3490.31,fulfilled,Engineering
157,7,2023-08-24,28344.88,fulfilled,Support
158,12,2023-10-01,27892.29,fulfilled,Product
159,7,2023-09-23,17316.35,fulfilled,Product
160,57,2024-01-11,16918.3,fulfilled,Support
161,24,2023-12-07,2191.42,fulfilled,Support
162,39,2023-09-24,12765.76,fulfilled,Finance
163,3,2024-04-19,35635.3,fulfilled,Sales
164,56,2024-08-04,18023.04,fulfilled,Sales
165,25,2024-01-20,39131.55,fulfilled,Sales
166,51,2024-11-10,38933.01,fulfilled,Sales
167,34,2023-11-19,34463.25,fulfilled,Product
168,30,2024-05-31,17812.07,fulfilled,Engineering
169,68,2024-03-03,21642.97,fulfilled,Finance
170,36,2023-11-15,37182.61,fulfilled,Operations
171,4,2024-02-25,20097.08,fulfilled,Finance
172,64,2024-05-15,11368.39,open,Finance
173,65,2024-03-23,9896.43,fulfilled,Product
174,80,2024-04-22,4456.4,fulfilled,Operations
175,3,2024-05-08,23429.64,open,Support
176,74,2023-11-24,14167.28,fulfilled,Product
177,24,2023-10-17,11718.3,canceled,Sales
178,21,2023-07-24,12622.24,fulfilled,Finance
179,13,2024-05-15,38842.98,fulfilled,Product
180,56,2024-10-10,27949.96,canceled,Engineering
181,14,2024-09-30,39238.68,fulfilled,Marketing
182,55,2024-11-12,19571.51,fulfilled,People
183,56,2024-07-08,20711.15,fulfilled,Operations
184,61,2024-04-11,1683.04,fulfilled,Product
185,36,2023-10-31,21743.45,fulfilled,Marketing
186,53,2023-11-30,17511.71,open,People
187,66,2023-11-09,2477.25,fulfilled,Finance
188,17,2024-12-28,20433.52,fulfilled,People
189,62,2023-11-16,24816.35,fulfilled,Sales
190,67,2024-01-12,28519.7,fulfilled,Finance
191,34,2023-07-29,12462.04,fulfilled,Support
192,59,2023-08-02,14441.0,fulfilled,Operations
193,19,2024-11-07,2500.6,fulfilled,Support
194,17,2024-11-22,10599.73,fulfilled,Sales
195,50,2024-10-07,1509.52,fulfilled,Sales
196,32,2024-10-20,31553.86,fulfilled,Sales
197,26,2024-06-26,20466.94,fulfilled,Engineering
198,71,2024-11-18,3876.14,fulfilled,Finance
199,37,2024-02-15,2358.24,open,Engineering
200,40,2024-10-22,1409.79,fulfilled,People
201,53,2023-12-08,33597.86,fulfilled,Marketing
202,27,2024-12-11,8569.55,fulfilled,Product
203,65,2024-10-18,30235.07,fulfilled,People
204,75,2023-08-31,37315.43,open,Marketing
205,13,2024-09-23,6753.62,fulfilled,Product
206,44,2024-12-29,12607.34,canceled,Support
207,29,2023-09-18,35787.61,open,Sales
208,65,2024-09-12,19681.31,open,Sales
209,45,2023-09-07,29516.22,fulfilled,People
210,4,2024-12-02,3052.91,fulfilled,Product
211,56,2024-01-18,33473.83,fulfilled,Sales
212,20,2024-06-22,7341.2,fulfilled,Engineering
213,79,2023-11-08,24601.03,open,Product
214,47,2023-08-01,20768.25,fulfilled,Product
215,65,2023-07-10,20358.81,fulfilled,Operations
216,75,2023-11-17,12304.3,fulfilled,Marketing
217,34,2023-11-09,33807.68,fulfilled,Engineering
218,46,2023-10-01,17304.61,fulfilled,Finance
219,53,2024-05-31,24623.4,fulfilled,Operations
220,32,2023-07-21,12842.54,fulfilled,Product
221,34,2023-08-09,2889.03,fulfilled,Engineering
222,29,2024-07-21,7820.48,fulfilled,Operations
223,64,2024-05-13,6014.01,fulfilled,Engineering
224,52,2023-11-27,22994.71,fulfilled,Sales
225,63,2023-08-08,26566.65,fulfilled,Support
226,5,2024-03-27,21453.31,fulfilled,Sales
227,5,2024-02-26,18444.02,fulfilled,Marketing
228,60,2024-12-27,21527.54,fulfilled,People
229,43,2023-08-19,39640.32,fulfilled,Marketing
230,49,2023-09-28,12236.1,fulfilled,Finance
231,76,2023-12-16,19427.54,fulfilled,Support
232,22,2024-02-08,22296.5,canceled,Sales
233,80,2023-11-08,37433.91,fulfilled,Finance
234,14,2023-10-03,9775.12,fulfilled,Finance
235,26,2024-11-24,20974.24,fulfilled,Finance
236,60,2023-11-18,16617.08,fulfilled,Support
237,41,2024-11-03,30951.22,fulfilled,Product
238,24,2024-02-29,3035.34,fulfilled,Marketing
239,16,2024-12-08,22383.47,fulfilled,Operations
240,7,2024-10-13,34041.24,fulfilled,Product
241,63,2023-10-26,6958.56,fulfilled,Product
242,63,2023-10-02,39321.74,fulfilled,People
243,21,2024-10-23,15142.25,fulfilled,Operations
244,80,2024-02-17,37269.03,canceled,Finance
245,74,2024-02-03,37037.68,fulfilled,Marketing
246,74,2024-11-06,15053.73,fulfilled,Product
247,28,2024-02-09,8780.83,fulfilled,Sales
248,31,2024-04-10,24863.07,fulfilled,Marketing
249,1,2023-08-13,39532.7,fulfilled,Engineering
250,5,2024-08-20,9288.1,fulfilled,Engineering
251,26,2024-07-21,28378.67,fulfilled,Marketing
252,40,2023-11-01,1184.78,fulfilled,Support
253,48,2024-09-16,2020.12,fulfilled,Operations
254,25,2024-11-19,4511.7,fulfilled,People
255,36,2023-11-08,27198.55,fulfilled,Support
256,24,2024-12-22,5062.66,fulfilled,Product
257,55,2023-08-16,25349.16,fulfilled,Sales
258,30,2023-11-28,4298.54,fulfilled,Operations
259,26,2024-12-11,5623.14,fulfilled,Marketing
260,35,2024-08-12,4189.29,fulfilled,Sales
261,35,2024-01-31,7402.49,fulfilled,Operations
262,48,2024-09-20,9202.04,fulfilled,Support
263,3,2024-07-27,3775.05,fulfilled,Marketing
264,24,2023-12-28,21678.06,fulfilled,Operations
265,50,2023-08-01,36124.84,fulfilled,Product
266,7,2023-11-18,18719.79,fulfilled,Operations
267,8,2023-11-29,21882.31,open,People
268,76,2024-04-29,4181.47,fulfilled,Marketing
269,11,2024-10-22,37725.25,fulfilled,Sales
270,48,2023-08-05,34444.51,fulfilled,Product
271,15,2024-04-19,28024.22,fulfilled,Finance
272,65,2023-10-25,15336.64,fulfilled,Finance
273,2,2024-06-02,3516.07,fulfilled,Support
274,68,2023-07-27,31169.3,fulfilled,Marketing
275,6,2024-09-17,16983.49,fulfilled,Support
276,38,2024-02-12,39279.44,fulfilled,Operations
277,35,2023-12-14,31693.2,fulfilled,Operations
278,22,2023-12-25,28906.57,fulfilled,People
279,1,2023-07-20,25827.22,fulfilled,Marketing
280,51,2023-11-13,35233.57,fulfilled,People
281,21,2024-10-20,30982.72,fulfilled,Operations
282,33,2024-10-29,38118.77,fulfilled,Marketing
283,28,2024-07-04,7400.99,fulfilled,Sales
284,23,2024-06-17,27017.08,canceled,Product
285,38,2023-12-30,27812.66,canceled,Marketing
286,50,2024-08-27,16290.4,fulfilled,Marketing
287,34,2023-07-01,7945.36,fulfilled,Sales
288,75,2024-03-23,5359.77,fulfilled,Sales
289,1,2024-02-05,6408.87,canceled,Sales
290,45,2024-08-07,21971.96,fulfilled,Finance
291,49,2024-02-21,9541.04,fulfilled,Finance
292,58,2023-10-06,29614.28,open,People
293,14,2024-12-28,38258.36,fulfilled,People
294,40,2024-05-10,22593.48,fulfilled,Finance
295,69,2024-06-15,24089.96,fulfilled,Marketing
296,47,2024-04-20,11232.24,fulfilled,Engineering
297,19,2024-07-02,8960.08,fulfilled,Support
298,21,2023-07-19,16225.93,fulfilled,Product
299,7,2024-07-22,32959.82,fulfilled,Product
300,19,2023-10-18,20796.48,fulfilled,People
301,32,2023-09-30,2099.12,fulfilled,Product
302,27,2024-06-11,19166.03,fulfilled,Sales
303,75,2024-09-23,35781.01,fulfilled,Support
304,61,2024-10-18,22148.23,fulfilled,Support
305,27,2024-10-09,31118.35,fulfilled,Marketing
306,42,2024-04-15,12583.26,fulfilled,Sales
307,39,2024-12-31,30556.95,fulfilled,Sales
308,26,2024-01-31,23169.98,fulfilled,People
309,59,2024-02-08,4979.34,open,People
310,32,2024-04-07,24380.68,fulfilled,People
311,35,2023-08-29,17987.8,fulfilled,Support
312,79,2024-02-05,4004.13,fulfilled,Marketing
313,19,2024-08-14,21940.16,fulfilled,Sales
314,59,2024-05-15,26770.13,open,Sales
315,15,2024-01-29,2924.49,fulfilled,Sales
316,18,2023-07-26,33497.46,fulfilled,Support
317,50,2023-11-12,25323.36,fulfilled,Engineering
318,36,2024-10-29,27017.42,fulfilled,Operations
319,21,2024-03-07,1694.68,fulfilled,Finance
320,39,2024-06-17,27189.46,fulfilled,Marketing
321,25,2024-05-12,6205.38,fulfilled,Marketing
322,58,2023-11-09,37097.16,open,Sales
323,33,2024-03-22,5600.37,fulfilled,People
324,45,2024-01-19,4819.9,fulfilled,Support
325,1,2023-09-29,13503.57,fulfilled,Engineering
326,52,2024-01-29,5416.06,fulfilled,Support
327,35,2024-03-31,24101.39,fulfilled,Engineering
328,62,2024-02-14,35213.68,fulfilled,Product
329,7,2024-02-11,8486.37,fulfilled,Sales
330,66,2024-02-23,19471.98,fulfilled,Engineering
331,38,2024-11-04,11394.09,fulfilled,Finance
332,12,2023-07-27,7559.87,fulfilled,Operations
333,41,2024-11-04,35568.02,open,Engineering
334,1,2024-03-05,21013.63,fulfilled,Product
335,33,2024-05-03,11933.82,fulfilled,Product
336,9,2024-04-28,21922.21,fulfilled,Sales
337,1,2023-09-20,32926.88,open,Support
338,9,2024-02-13,31094.02,fulfilled,Marketing
339,21,2024-04-27,34713.88,fulfilled,Engineering
340,39,2023-11-09,3703.45,fulfilled,People
341,50,2023-08-19,14327.16,fulfilled,Engineering
342,8,2024-11-28,34175.68,fulfilled,Product
343,76,2023-11-21,10268.86,fulfilled,Product
344,49,2023-08-31,29741.56,fulfilled,Product
345,14,2023-09-02,35631.07,fulfilled,Engineering
346,40,2023-09-02,16920.09,fulfilled,Sales
347,1,2024-06-07,39590.4,fulfilled,Sales
348,69,2023-11-19,14178.99,fulfilled,Engineering
349,54,2024-01-29,15271.64,fulfilled,Marketing
350,15,2024-07-13,13303.62,open,People
351,17,2024-06-26,10250.64,fulfilled,Product
352,21,2024-06-22,30806.44,fulfilled,People
353,21,2024-11-20,12215.13,canceled,Operations
354,56,2023-07-13,36412.47,fulfilled,Finance
355,64,2024-10-15,28386.13,fulfilled,Finance
356,46,2024-11-17,39321.75,fulfilled,Support
357,25,2024-10-28,5996.78,canceled,People
358,74,2023-12-04,35123.84,fulfilled,Sales
359,59,2024-11-16,11428.31,canceled,Engineering
360,12,2024-11-11,36659.67,open,Marketing
361,15,2024-07-05,14062.6,fulfilled,Sales
362,59,2024-04-20,20779.72,fulfilled,Support
363,38,2024-08-24,17664.5,fulfilled,Marketing
364,61,2024-11-25,31728.06,fulfilled,People
365,35,2023-08-01,9521.96,fulfilled,Finance
