event_id,customer_id,product_id,event_ts,event_type,units
1,179,2,2024-09-03 20:09:00,alert_fired,182
2,288,1,2024-11-10 17:46:00,api_call,272
3,61,3,2024-10-28 13:45:00,alert_fired,304
4,266,2,2024-05-17 10:43:00,report_run,372
5,51,2,2024-11-18 06:55:00,report_run,486
6,180,5,2024-11-22 10:44:00,dashboard_view,46
7,264,3,2024-06-13 16:44:00,login,405
8,97,3,2024-05-22 06:24:00,dashboard_view,335
9,229,3,2023-10-17 03:45:00,dashboard_view,260
10,192,2,2024-11-28 13:30:00,report_run,403
11,191,3,2023-09-16 02:21:00,dashboard_view,409
12,248,3,2024-12-09 20:34:00,export,259
13,173,2,2023-12-28 12:20:00,api_call,119
14,106,4,2024-03-10 23:11:00,api_call,264
15,305,1,2024-02-12 08:06:00,api_call,38
16,234,2,2024-09-12 10:03:00,login,145
17,237,2,2024-10-28 00:36:00,api_call,103
18,41,4,2024-05-11 02:23:00,export,193
19,304,1,2024-09-12 13:12:00,report_run,142
20,83,4,2024-01-02 20:23:00,dashboard_view,111
21,211,1,2024-11-24 10:00:00,dashboard_view,313
22,175,4,2024-10-10 19:12:00,dashboard_view,13
23,326,1,2023-09-04 02:24:00,dashboard_view,199
24,220,2,2024-12-06 16:04:00,export,460
25,226,5,2023-12-20 07:49:00,login,300
26,269,2,2024-06-19 04:38:00,alert_fired,13
27,261,5,2024-03-10 15:10:00,export,276
28,340,4,2024-11-05 10:14:00,alert_fired,123
29,131,5,2024-12-20 00:47:00,export,429
30,93,2,2024-02-18 11:02:00,login,217
31,25,1,2024-12-08 00:27:00,dashboard_view,373
32,180,5,2024-01-27 16:07:00,dashboard_view,464
33,231,5,2024-11-22 16:00:00,api_call,188
34,53,2,2024-05-24 14:52:00,login,18
35,261,1,2024-02-06 07:50:00,export,438
36,337,3,2023-12-19 23:34:00,report_run,464
37,146,3,2024-03-23 18:59:00,alert_fired,365
38,58,4,2024-02-05 15:24:00,dashboard_view,110
39,223,5,2023-10-08 19:04:00,login,231
40,216,5,2023-10-03 18:42:00,api_call,38
41,265,4,2024-11-16 05:46:00,api_call,471
42,131,4,2024-12-11 14:45:00,api_call,274
43,11,1,2023-12-25 18:20:00,dashboard_view,59
44,6,4,2024-08-01 02:25:00,login,433
45,186,4,2024-02-18 02:27:00,login,374
46,76,5,2024-07-01 20:57:00,alert_fired,73
47,175,2,2024-10-14 19:14:00,report_run,11
48,243,2,2024-01-22 13:05:00,alert_fired,310
49,68,3,2024-07-27 21:14:00,login,242
50,53,4,2024-09-27 21:58:00,login,244
51,101,1,2024-08-16 17:51:00,api_call,33
52,10,2,2024-06-03 06:49:00,login,330
53,101,1,2024-01-25 05:16:00,api_call,230
54,286,4,2024-09-25 22:33:00,api_call,224
55,118,2,2023-09-26 11:42:00,login,253
56,253,3,2024-10-17 05:08:00,api_call,290
57,195,3,2024-12-16 09:19:00,login,320
58,265,2,2024-08-03 17:08:00,alert_fired,97
59,326,1,2024-04-26 16:21:00,alert_fired,56
60,202,5,2024-10-06 18:43:00,api_call,148
61,106,5,2023-12-12 23:29:00,dashboard_view,300
62,178,1,2023-11-01 02:03:00,login,226
63,282,1,2024-02-17 19:51:00,report_run,176
64,339,2,2024-08-01 17:33:00,report_run,92
65,321,5,2024-12-19 05:04:00,api_call,183
66,6,3,2024-04-21 16:15:00,login,42
67,27,1,2023-09-05 23:53:00,export,286
68,238,1,2024-02-04 10:01:00,alert_fired,200
69,30,1,2024-12-15 12:54:00,alert_fired,370
70,199,3,2024-01-02 01:50:00,login,147
71,15,3,2023-12-26 22:28:00,login,72
72,195,5,2024-12-14 11:35:00,alert_fired,433
73,187,4,2023-10-26 05:27:00,dashboard_view,232
74,76,3,2024-04-01 13:11:00,report_run,165
75,136,1,2024-02-05 06:12:00,alert_fired,172
76,31,1,2023-10-04 09:11:00,export,330
77,99,5,2024-05-13 19:13:00,login,236
78,250,4,2024-05-05 18:05:00,api_call,328
79,298,2,2024-02-04 15:52:00,export,41
80,13,1,2024-10-16 14:26:00,login,467
81,11,4,2024-01-09 18:58:00,report_run,14
82,249,5,2023-12-19 21:03:00,login,220
83,134,5,2023-08-10 18:08:00,api_call,416
84,9,5,2024-11-01 02:24:00,api_call,140
85,176,4,2024-05-04 11:56:00,alert_fired,393
86,39,5,2024-05-28 20:09:00,dashboard_view,145
87,136,4,2024-04-28 22:59:00,login,17
88,36,2,2024-02-05 22:00:00,report_run,123
89,189,1,2024-04-26 12:40:00,api_call,317
90,248,3,2023-07-24 23:33:00,export,62
91,180,4,2024-01-03 23:10:00,login,213
92,155,3,2023-09-02 08:29:00,export,284
93,107,4,2024-06-02 02:02:00,login,186
94,169,5,2023-08-05 06:03:00,alert_fired,401
95,156,5,2024-03-27 02:11:00,export,305
96,175,4,2024-03-19 00:52:00,login,314
97,237,1,2024-06-15 09:06:00,export,138
98,21,5,2024-02-28 22:23:00,report_run,111
99,166,3,2024-10-13 14:28:00,alert_fired,494
100,218,2,2024-04-28 04:51:00,alert_fired,258
101,195,5,2024-06-26 14:50:00,dashboard_view,14
102,246,1,2024-12-09 16:17:00,api_call,391
103,228,1,2024-02-03 10:50:00,dashboard_view,91
104,128,2,2024-06-03 03:22:00,api_call,17
105,205,2,2024-06-22 11:30:00,alert_fired,321
106,25,2,2023-11-13 20:09:00,alert_fired,349
107,42,5,2024-11-08 06:22:00,alert_fired,400
108,215,5,2024-11-28 09:37:00,export,483
109,185,2,2024-08-27 03:42:00,report_run,81
110,278,2,2023-09-15 05:16:00,login,352
111,108,2,2024-10-20 15:16:00,alert_fired,482
112,210,1,2024-07-26 13:55:00,export,117
113,21,2,2024-06-28 05:31:00,alert_fired,159
114,289,2,2024-10-27 09:32:00,login,209
115,96,5,2024-08-06 01:41:00,dashboard_view,408
116,144,5,2023-12-23 00:05:00,dashboard_view,402
117,215,5,2024-05-01 18:30:00,login,260
118,146,3,2024-04-28 12:33:00,alert_fired,436
119,323,2,2024-09-07 03:09:00,dashboard_view,294
120,198,1,2024-07-18 17:51:00,report_run,228
121,182,5,2024-03-05 08:07:00,alert_fired,3
122,152,2,2023-08-28 14:48:00,dashboard_view,202
123,143,2,2024-12-22 09:56:00,export,402
124,216,2,2024-06-24 12:26:00,dashboard_view,410
125,291,1,2024-02-10 19:18:00,dashboard_view,295
126,263,3,2023-07-22 18:52:00,alert_fired,484
127,326,4,2024-06-14 04:00:00,export,40
128,124,3,2023-11-15 02:01:00,export,165
129,307,3,2023-07-28 21:45:00,alert_fired,62
130,44,4,2024-06-14 20:21:00,dashboard_view,133
131,205,4,2024-01-28 19:02:00,login,43
132,103,5,2024-01-18 06:56:00,login,339
133,213,1,2024-11-13 04:53:00,alert_fired,410
134,122,4,2024-10-07 02:24:00,api_call,106
135,46,2,2024-08-04 19:14:00,export,16
136,70,2,2024-06-24 16:02:00,report_run,230
137,316,1,2024-06-26 22:45:00,report_run,399
138,242,1,2023-09-22 11:57:00,api_call,100
139,45,3,2024-03-27 17:41:00,login,376
140,162,4,2024-06-16 07:27:00,export,349
141,297,2,2024-02-23 23:01:00,alert_fired,425
142,261,2,2023-09-28 10:21:00,report_run,224
143,229,4,2024-02-14 23:21:00,alert_fired,176
144,140,2,2024-12-08 11:53:00,export,188
145,113,3,2024-03-09 11:10:00,dashboard_view,91
146,38,1,2024-04-25 22:13:00,report_run,93
147,280,3,2024-03-26 04:06:00,export,291
148,63,2,2024-10-25 04:19:00,alert_fired,366
149,256,4,2024-12-01 15:29:00,api_call,316
150,160,2,2024-10-06 11:27:00,dashboard_view,43
151,171,2,2024-10-14 20:30:00,alert_fired,107
152,180,2,2024-11-09 00:52:00,api_call,233
153,111,5,2024-10-07 07:00:00,login,59
154,270,3,2024-09-13 14:06:00,report_run,372
155,147,1,2023-10-28 22:31:00,export,106
156,201,4,2024-09-01 02:04:00,report_run,142
157,229,1,2024-01-16 22:29:00,login,231
158,244,2,2023-11-06 22:06:00,alert_fired,372
159,335,5,2024-12-11 16:15:00,alert_fired,439
160,336,2,2024-11-01 03:33:00,export,241
