response_id,ticket_id,submitted_on,score,comment
1,1,2024-08-31,4,slow but solved
2,2,2024-12-15,4,had to chase twice
3,6,2024-01-24,5,quick fix
4,8,2023-09-15,4,great support
5,9,2024-07-20,3,slow but solved
6,10,2024-09-06,3,
7,12,2024-03-28,4,slow but solved
8,14,2024-10-26,5,had to chase twice
9,15,2023-12-29,4,slow but solved
10,16,2024-07-13,3,quick fix
11,19,2024-06-26,5,
12,21,2024-01-27,3,slow but solved
13,23,2023-12-03,1,quick fix
14,25,2024-07-22,5,had to chase twice
15,26,2024-11-27,5,had to chase twice
16,27,2023-09-17,5,
17,28,2024-03-13,5,had to chase twice
18,29,2024-12-19,2,slow but solved
19,31,2024-04-29,4,quick fix
20,32,2023-09-23,4,slow but solved
21,33,2024-12-03,5,had to chase twice
22,34,2024-08-11,5,quick fix
23,35,2024-02-22,2,
24,36,2023-07-17,1,quick fix
25,37,2023-07-13,5,quick fix
26,38,2024-12-18,4,quick fix
27,40,2024-12-06,3,had to chase twice
28,41,2023-10-04,3,slow but solved
29,42,2024-12-30,4,had to chase twice
30,43,2024-06-30,4,had to chase twice
31,45,2023-09-27,5,great support
32,46,2024-10-30,5,quick fix
33,47,2024-07-01,4,slow but solved
34,48,2024-04-23,2,slow but solved
35,49,2024-03-06,5,
36,50,2023-08-28,5,slow but solved
37,51,2024-10-05,3,slow but solved
38,53,2024-08-30,5,great support
39,54,2023-09-04,3,slow but solved
40,55,2023-08-19,5,quick fix
41,56,2024-01-16,4,quick fix
42,57,2024-04-14,5,great support
43,58,2024-12-27,3,great support
44,59,2024-08-22,5,had to chase twice
45,61,2024-10-15,4,quick fix
46,62,2024-03-11,4,
47,65,2023-08-13,5,slow but solved
48,67,2023-08-30,5,had to chase twice
49,68,2023-08-04,3,slow but solved
50,69,2024-02-02,5,quick fix
51,73,2024-06-27,5,slow but solved
52,77,2024-05-01,4,quick fix
53,78,2024-11-25,3,quick fix
54,79,2024-09-20,5,great support
55,80,2024-06-08,3,quick fix
56,81,2023-12-18,5,slow but solved
57,82,2024-07-08,4,had to chase twice
58,83,2024-12-09,4,had to chase twice
59,84,2024-06-10,2,great support
60,85,2024-11-02,4,quick fix
61,86,2024-12-28,5,had to chase twice
62,88,2024-10-22,5,had to chase twice
63,89,2024-10-30,5,
64,90,2024-11-26,3,slow but solved
65,91,2024-11-18,4,slow but solved
66,92,2024-05-16,4,had to chase twice
67,93,2024-07-22,4,
68,94,2024-10-20,2,slow but solved
69,96,2024-11-15,5,had to chase twice
70,97,2024-01-16,5,quick fix
71,98,2024-07-07,5,great support
72,99,2023-12-04,4,had to chase twice
73,100,2024-04-20,4,had to chase twice
74,101,2024-06-29,5,slow but solved
75,102,2024-07-12,5,had to chase twice
76,105,2024-02-25,5,great support
77,107,2024-07-10,4,slow but solved
78,108,2024-12-20,5,slow but solved
79,109,2024-06-12,5,great support
80,110,2024-10-30,3,slow but solved
81,111,2023-08-12,5,great support
82,113,2024-07-05,4,had to chase twice
83,115,2024-12-16,5,had to chase twice
